phrases,tagged_phrases,dummy_labels,POS_TAGS_OF_PHRASE
exterior are,exterior nns are vbp,1,<NNS><VBP>
exterior cover,exterior rb cover nn,1,<RB><NN>
exterior of ac,exterior nn of in_pos ac nn,1,<NN><IN><NN>
exterior of motor,exterior nn of in_pos motor nn,1,<NN><IN><NN>
external,external jj,1,<JJ>
extremely low,extremely rb low jj,1,<RB><JJ>
eyes are,eyes nns are vbp,1,<NNS><VBP>
f make,f nns make vbp,1,<NNS><VBP>
failed,failed vbd,1,<VBD>
fan had,fan nn had vbd,1,<NN><VBD>
fan made,fan nn made vbd,1,<NN><VBD>
fan was,fan nn was vbd,1,<NN><VBD>
fans n,fans nns n vbp,1,<NNS><VBP>
fasteners are,fasteners nns are vbp,1,<NNS><VBP>
fasteners cleaned,fasteners nns cleaned vbd,1,<NNS><VBD>
fasteners dirt,fasteners nns dirt vbp,1,<NNS><VBP>
fasteners earth,fasteners nns earth vbp,1,<NNS><VBP>
fasteners exterior,fasteners nns exterior vbp,1,<NNS><VBP>
fasteners grounds,fasteners nns grounds nns,1,<NNS><NNS>
fasteners present,fasteners nns present jj,1,<NNS><JJ>
fasteners secure,fasteners nns secure vbp,1,<NNS><VBP>
fasteners wer,fasteners nns wer vbp,1,<NNS><VBP>
fasteners were,fasteners nns were vbd,1,<NNS><VBD>
fastening,fastening vbg,1,<VBG>
fastners are,fastners nns are vbp,1,<NNS><VBP>
fault on mud,fault nn on in_pos mud nn,1,<NN><IN><NN>
faulting,faulting vbg,1,<VBG>
features are,features nns are vbp,1,<NNS><VBP>
features were,features nns were vbd,1,<NNS><VBD>
feedback made,feedback nn made vbd,1,<NN><VBD>
few,few jj,1,<JJ>
field inspected,field nn inspected vbd,1,<NN><VBD>
figured,figured vbn,1,<VBN>
file installed,file nn installed vbd,1,<NN><VBD>
filling,filling vbg,1,<VBG>
filter checked,filter nn checked vbd,1,<NN><VBD>
filter closed,filter nn closed vbd,1,<NN><VBD>
filter fitted,filter nn fitted vbd,1,<NN><VBD>
filter installed,filter nn installed vbd,1,<NN><VBD>
filter was,filter nn was vbd,1,<NN><VBD>
filters are,filters nns are vbp,1,<NNS><VBP>
filters n,filters nns n vbp,1,<NNS><VBP>
filters were,filters nns were vbd,1,<NNS><VBD>
find fwd,find vb fwd nn,1,<VB><NN>
fins are,fins nns are vbp,1,<NNS><VBP>
fins debris,fins nns debris vbp,1,<NNS><VBP>
fins for fwd,fins nns for in_pos fwd nn,1,<NNS><IN><NN>
fins found,fins nns found vbd,1,<NNS><VBD>
fins n,fins nns n vbp,1,<NNS><VBP>
fire watched,fire nn watched vbd,1,<NN><VBD>
fitted,fitted vbn,1,<VBN>
fixed,fixed vbn,1,<VBN>
flages thinner,flages nns thinner vbp,1,<NNS><VBP>
flange secuered,flange nn secuered vbd,1,<NN><VBD>
flexing,flexing vbg,1,<VBG>
floor ran,floor nn ran vbd,1,<NN><VBD>
foam sealed,foam nn sealed vbd,1,<NN><VBD>
followed,followed vbd,1,<VBD>
following,following vbg,1,<VBG>
follows closed,follows vbz closed vbd,1,<VBZ><VBD>
for abnormal bearing,for in_pos abnormal jj bearing nn,1,<IN><JJ><NN>
for abnormal condition,for in_pos abnormal jj condition nn,1,<IN><JJ><NN>
for abnormal heat,for in_pos abnormal jj heat nn,1,<IN><JJ><NN>
for abnormal noise,for in_pos abnormal jj noise nn,1,<IN><JJ><NN>
for abnormal vibration,for in_pos abnormal jj vibration nn,1,<IN><JJ><NN>
for abnormal vibrationsno,for in_pos abnormal jj vibrationsno nn,1,<IN><JJ><NN>
for access,for in_pos access nn,1,<IN><NN>
for advice,for in_pos advice nn,1,<IN><NN>
for air,for in_pos air nn,1,<IN><NN>
for analysis,for in_pos analysis nn,1,<IN><NN>
for approval,for in_pos approval nn,1,<IN><NN>
for base,for in_pos base nn,1,<IN><NN>
for below task,for in_pos below in_pos task nn,1,<IN><IN><NN>
for choke,for in_pos choke nn,1,<IN><NN>
for cleanliness,for in_pos cleanliness nn,1,<IN><NN>
for conditionsand,for in_pos conditionsand nn,1,<IN><NN>
for confirmation,for in_pos confirmation nn,1,<IN><NN>
for correct rotation,for in_pos correct jj rotation nn,1,<IN><JJ><NN>
for corrosion,for in_pos corrosion nn,1,<IN><NN>
for couple,for in_pos couple nn,1,<IN><NN>
for crane,for in_pos crane nn,1,<IN><NN>
for damage,for in_pos damage nn,1,<IN><NN>
for debris water,for in_pos debris jj water nn,1,<IN><JJ><NN>
for defect,for in_pos defect nn,1,<IN><NN>
for dirt,for in_pos dirt nn,1,<IN><NN>
for disconnected rtd,for in_pos disconnected vbn rtd nn,1,<IN><VBN><NN>
for drill,for in_pos drill nn,1,<IN><NN>
for drive motor,for in_pos drive nn motor nn,1,<IN><NN><NN>
for ex area,for in_pos ex jj area nn,1,<IN><JJ><NN>
for ex e,for in_pos ex nn e nn,1,<IN><NN><NN>
for excessive noise,for in_pos excessive jj noise nn,1,<IN><JJ><NN>
for excessive temperature,for in_pos excessive jj temperature nn,1,<IN><JJ><NN>
for explosion,for in_pos explosion nn,1,<IN><NN>
for function,for in_pos function nn,1,<IN><NN>
for further investigation,for in_pos further jj investigation nn,1,<IN><JJ><NN>
for future immediate,for in_pos future jj immediate nn,1,<IN><JJ><NN>
for future mud,for in_pos future jj mud nn,1,<IN><JJ><NN>
for future referance,for in_pos future jj referance nn,1,<IN><JJ><NN>
for future reference,for in_pos future jj reference nn,1,<IN><JJ><NN>
for galling,for in_pos galling vbg,1,<IN><VBG>
for good tightness,for in_pos good jj tightness nn,1,<IN><JJ><NN>
for hazardous area,for in_pos hazardous jj area nn,1,<IN><JJ><NN>
for high motor,for in_pos high jj motor nn,1,<IN><JJ><NN>
for hot spot,for in_pos hot jj spot nn,1,<IN><JJ><NN>
for hrs,for in_pos hrs nn,1,<IN><NN>
for impeller,for in_pos impeller nn,1,<IN><NN>
for in wc,for in_pos in in_pos wc nn,1,<IN><IN><NN>
for information,for in_pos information nn,1,<IN><NN>
for inspection,for in_pos inspection nn,1,<IN><NN>
for insulation,for in_pos insulation nn,1,<IN><NN>
for ir pic,for in_pos ir nn pic nn,1,<IN><NN><NN>
for j,for in_pos j nn,1,<IN><NN>
for job,for in_pos job nn,1,<IN><NN>
for leaks damage,for in_pos leaks nns damage nn,1,<IN><NNS><NN>
for location start,for in_pos location nn start nn,1,<IN><NN><NN>
for long life,for in_pos long jj life nn,1,<IN><JJ><NN>
for lubrication,for in_pos lubrication nn,1,<IN><NN>
for main motor,for in_pos main jj motor nn,1,<IN><JJ><NN>
for make,for in_pos make nn,1,<IN><NN>
for manual cranking,for in_pos manual jj cranking nn,1,<IN><JJ><NN>
for mech,for in_pos mech nn,1,<IN><NN>
for mechanical damage,for in_pos mechanical jj damage nn,1,<IN><JJ><NN>
for minute,for in_pos minute nn,1,<IN><NN>
for motor,for in_pos motor nn,1,<IN><NN>
for mp,for in_pos mp nn,1,<IN><NN>
for mpb,for in_pos mpb nn,1,<IN><NN>
for mud,for in_pos mud nn,1,<IN><NN>
for nov rebuild,for in_pos nov jj rebuild nn,1,<IN><JJ><NN>
for nov system,for in_pos nov jj system nn,1,<IN><JJ><NN>
for overhaul,for in_pos overhaul nn,1,<IN><NN>
for pm,for in_pos pm nn,1,<IN><NN>
for proper rotation,for in_pos proper jj rotation nn,1,<IN><JJ><NN>
for proper security,for in_pos proper jj security nn,1,<IN><JJ><NN>
for purpose,for in_pos purpose nn,1,<IN><NN>
for rebuild,for in_pos rebuild nn,1,<IN><NN>
for removal,for in_pos removal nn,1,<IN><NN>
for repleshiment,for in_pos repleshiment nn,1,<IN><NN>
for restore,for in_pos restore nn,1,<IN><NN>
for rewind,for in_pos rewind nn,1,<IN><NN>
for rotation,for in_pos rotation nn,1,<IN><NN>
for safe area,for in_pos safe jj area nn,1,<IN><JJ><NN>
for sec,for in_pos sec nn,1,<IN><NN>
for skid plate,for in_pos skid nn plate nn,1,<IN><NN><NN>
for spare motor,for in_pos spare jj motor nn,1,<IN><JJ><NN>
for step,for in_pos step nn,1,<IN><NN>
for temperature,for in_pos temperature nn,1,<IN><NN>
for test,for in_pos test nn,1,<IN><NN>
for tightness,for in_pos tightness nn,1,<IN><NN>
for timeline,for in_pos timeline nn,1,<IN><NN>
for torque,for in_pos torque nn,1,<IN><NN>
for unusual noise,for in_pos unusual jj noise nn,1,<IN><JJ><NN>
for use,for in_pos use nn,1,<IN><NN>
for vibration,for in_pos vibration nn,1,<IN><NN>
for visual inspection,for in_pos visual jj inspection nn,1,<IN><JJ><NN>
for water,for in_pos water nn,1,<IN><NN>
forwarded,forwarded vbn,1,<VBN>
found nothing,found vbn nothing nn,1,<VBN><NN>
foundation checked,foundation nn checked vbd,1,<NN><VBD>
foundation got,foundation nn got vbd,1,<NN><VBD>
foundation in place,foundation nn in in_pos place nn,1,<NN><IN><NN>
foundation inspected,foundation nn inspected vbd,1,<NN><VBD>
frame from thruster,frame nn from in_pos thruster nn,1,<NN><IN><NN>
frame was,frame nn was vbd,1,<NN><VBD>
free,free jj,1,<JJ>
from abb,from in_pos abb nn,1,<IN><NN>
from busbar,from in_pos busbar nn,1,<IN><NN>
from corrosion,from in_pos corrosion nn,1,<IN><NN>
from corrosion step,from in_pos corrosion nn step nn,1,<IN><NN><NN>
from corrositon,from in_pos corrositon nn,1,<IN><NN>
from crane,from in_pos crane nn,1,<IN><NN>
from damage,from in_pos damage nn,1,<IN><NN>
from deck,from in_pos deck nn,1,<IN><NN>
from dirt,from in_pos dirt nn,1,<IN><NN>
from driller,from in_pos driller nn,1,<IN><NN>
from drive,from in_pos drive nn,1,<IN><NN>
from drive cabinet,from in_pos drive jj cabinet nn,1,<IN><JJ><NN>
from dust,from in_pos dust nn,1,<IN><NN>
from floor,from in_pos floor nn,1,<IN><NN>
from grand isle,from in_pos grand jj isle nn,1,<IN><JJ><NN>
from local control,from in_pos local jj control nn,1,<IN><JJ><NN>
from main motor,from in_pos main jj motor nn,1,<IN><JJ><NN>
from mcc,from in_pos mcc nn,1,<IN><NN>
from medium,from in_pos medium nn,1,<IN><NN>
from megger,from in_pos megger nn,1,<IN><NN>
from motor,from in_pos motor nn,1,<IN><NN>
from mud pump,from in_pos mud cd pump nn,1,<IN><CD><NN>
from normal test,from in_pos normal jj test nn,1,<IN><JJ><NN>
from novindia houston,from in_pos novindia jj houston nn,1,<IN><JJ><NN>
from oer mud,from in_pos oer cd mud nn,1,<IN><CD><NN>
from oes vibration,from in_pos oes nns vibration nn,1,<IN><NNS><NN>
from old motor,from in_pos old jj motor nn,1,<IN><JJ><NN>
from outside mp,from in_pos outside jj mp nn,1,<IN><JJ><NN>
from rig,from in_pos rig nn,1,<IN><NN>
from rust dirt,from in_pos rust nn dirt nn,1,<IN><NN><NN>
from shipyard,from in_pos shipyard nn,1,<IN><NN>
from start,from in_pos start nn,1,<IN><NN>
from third party,from in_pos third jj party nn,1,<IN><JJ><NN>
from traume,from in_pos traume nn,1,<IN><NN>
front was,front nn was vbd,1,<NN><VBD>
full,full jj,1,<JJ>
function of mud,function nn of in_pos mud nn,1,<NN><IN><NN>
function on cubicle,function nn on in_pos cubicle nn,1,<NN><IN><NN>
function on mcc,function nn on in_pos mcc nn,1,<NN><IN><NN>
function tested,function nn tested vbd,1,<NN><VBD>
function worked,function nn worked vbd,1,<NN><VBD>
functioned,functioned vbn,1,<VBN>
functioning,functioning vbg,1,<VBG>
fundation was,fundation nn was vbd,1,<NN><VBD>
further,further rb,1,<RB>
fuse burned,fuse nn burned vbd,1,<NN><VBD>
g ohms min,g nn ohms md min vb,1,<NN><MD><VB>
galling,galling vbg,1,<VBG>
gasket cleaned,gasket nn cleaned vbd,1,<NN><VBD>
gasket for blower,gasket nn for in_pos blower nn,1,<NN><IN><NN>
gasket was,gasket nn was vbd,1,<NN><VBD>
gaskets are,gaskets nns are vbp,1,<NNS><VBP>
gaskets intact,gaskets nns intact jj,1,<NNS><JJ>
gaskets were,gaskets nns were vbd,1,<NNS><VBD>
gauges are,gauges nns are vbp,1,<NNS><VBP>
gauges calibrated,gauges nns calibrated vbd,1,<NNS><VBD>
gave,gave vbd,1,<VBD>
general,general jj,1,<JJ>
generating,generating vbg,1,<VBG>
getting,getting vbg,1,<VBG>
given,given vbn,1,<VBN>
giving,giving vbg,1,<VBG>
gland after inspection,gland nn after in_pos inspection nn,1,<NN><IN><NN>
gland secured,gland nn secured vbd,1,<NN><VBD>
gland tightened,gland nn tightened vbd,1,<NN><VBD>
glanding,glanding vbg,1,<VBG>
glanding was,glanding nn was vbd,1,<NN><VBD>
glands appeared,glands nns appeared vbd,1,<NNS><VBD>
glands are,glands nns are vbp,1,<NNS><VBP>
glands check,glands nns check vbp,1,<NNS><VBP>
glands checked,glands nns checked vbd,1,<NNS><VBD>
glands cowls,glands nns cowls vbp,1,<NNS><VBP>
glands have,glands nns have vbp,1,<NNS><VBP>
glands id,glands nns id vbp,1,<NNS><VBP>
glands inspected,glands nns inspected vbd,1,<NNS><VBD>
glands make,glands nns make vbp,1,<NNS><VBP>
glands ok,glands nns ok vbp,1,<NNS><VBP>
glands show,glands nns show vbp,1,<NNS><VBP>
glands were,glands nns were vbd,1,<NNS><VBD>
going,going vbg,1,<VBG>
gone,gone vbn,1,<VBN>
good,good jj,1,<JJ>
got,got vbd,1,<VBD>
grands are,grands nns are vbp,1,<NNS><VBP>
grease for lubricate,grease nn for in_pos lubricate nn,1,<NN><IN><NN>
grease found,grease nn found vbd,1,<NN><VBD>
greased,greased vbn,1,<VBN>
greasing,greasing vbg,1,<VBG>
grommets n,grommets nns n vbp,1,<NNS><VBP>
grommets suitable,grommets nns suitable jj,1,<NNS><JJ>
ground damaged,ground nn damaged vbd,1,<NN><VBD>
ground on cabinet,ground nn on in_pos cabinet nn,1,<NN><IN><NN>
ground was,ground nn was vbd,1,<NN><VBD>
grounded,grounded vbn,1,<VBN>
grounding,grounding vbg,1,<VBG>
grounding was,grounding nn was vbd,1,<NN><VBD>
grounds are,grounds nns are vbp,1,<NNS><VBP>
grounds leaks,grounds nns leaks nns,1,<NNS><NNS>
grounds ok,grounds nns ok vbp,1,<NNS><VBP>
grounds was,grounds nns was vbd,1,<NNS><VBD>
grounds were,grounds nns were vbd,1,<NNS><VBD>
guages are,guages nns are vbp,1,<NNS><VBP>
guard cleaned,guard nn cleaned vbd,1,<NN><VBD>
guard lifted,guard nn lifted vbd,1,<NN><VBD>
guard opened,guard nn opened vbd,1,<NN><VBD>
guards free,guards nns free jj,1,<NNS><JJ>
guards removed,guards nns removed vbd,1,<NNS><VBD>
guidelines make,guidelines nns make vbp,1,<NNS><VBP>
gun made,gun nn made vbd,1,<NN><VBD>
had,had vbd,1,<VBD>
handbook confirmed,handbook nn confirmed vbd,1,<NN><VBD>
handed,handed vbn,1,<VBN>
handoperated,handoperated vbn,1,<VBN>
happened,happened vbd,1,<VBD>
hardware in place,hardware nn in in_pos place nn,1,<NN><IN><NN>
hardware on junction,hardware nn on in_pos junction nn,1,<NN><IN><NN>
hardware secured,hardware nn secured vbn,1,<NN><VBN>
hardware was,hardware nn was vbd,1,<NN><VBD>
hardwares were,hardwares nns were vbd,1,<NNS><VBD>
has beeen,has vbz beeen nn,1,<VBZ><NN>
has been,has vbz been vbn,1,<VBZ><VBN>
has failed,has vbz failed vbn,1,<VBZ><VBN>
has found,has vbz found vbn,1,<VBZ><VBN>
has gone,has vbz gone vbn,1,<VBZ><VBN>
has had,has vbz had vbn,1,<VBZ><VBN>
has high,has vbz high jj,1,<VBZ><JJ>
has highlighted,has vbz highlighted vbn,1,<VBZ><VBN>
has hrs,has vbz hrs nn,1,<VBZ><NN>
has interchangeable,has vbz interchangeable jj,1,<VBZ><JJ>
has lifting,has vbz lifting nn,1,<VBZ><NN>
has little,has vbz little jj,1,<VBZ><JJ>
has minimal,has vbz minimal nn,1,<VBZ><NN>
has multiple,has vbz multiple nn,1,<VBZ><NN>
has normal,has vbz normal jj,1,<VBZ><JJ>
has padeyes,has vbz padeyes nns,1,<VBZ><NNS>
has performed,has vbz performed vbn,1,<VBZ><VBN>
has poor,has vbz poor jj,1,<VBZ><JJ>
has reported,has vbz reported vbn,1,<VBZ><VBN>
has sealed,has vbz sealed vbn,1,<VBZ><VBN>
has selaed,has vbz selaed nn,1,<VBZ><NN>
has tested,has vbz tested vbn,1,<VBZ><VBN>
has updated,has vbz updated vbn,1,<VBZ><VBN>
have attached,have vb attached vbn,1,<VB><VBN>
have been,have vbp been vbn,1,<VBP><VBN>
have blower,have vb blower nn,1,<VB><NN>
have checked,have vb checked vbn,1,<VB><VBN>
have come,have vbp come vbn,1,<VBP><VBN>
have commissioned,have vbp commissioned vbn,1,<VBP><VBN>
have disconnected,have vbp disconnected vbn,1,<VBP><VBN>
have discussed,have vbp discussed vbn,1,<VBP><VBN>
have done,have vb done vbn,1,<VB><VBN>
have grease,have vb grease nn,1,<VB><NN>
have identified,have vb identified vbn,1,<VB><VBN>
have left,have vb left vbn,1,<VB><VBN>
have lowered,have vb lowered vbn,1,<VB><VBN>
have marked,have vb marked vbn,1,<VB><VBN>
have nitrogen,have vb nitrogen nn,1,<VB><NN>
have ran,have vb ran nn,1,<VB><NN>
have removed,have vbp removed vbn,1,<VBP><VBN>
have sealed,have vb sealed vbn,1,<VB><VBN>
have shipped,have vb shipped vbn,1,<VB><VBN>
have tried,have vb tried vbn,1,<VB><VBN>
have verified,have vb verified vbn,1,<VB><VBN>
having,having vbg,1,<VBG>
hazardous,hazardous jj,1,<JJ>
head was,head nn was vbd,1,<NN><VBD>
heads are,heads nns are vbp,1,<NNS><VBP>
heat noted,heat nn noted vbd,1,<NN><VBD>
heat shrinked,heat nn shrinked vbd,1,<NN><VBD>
heater ampchecked,heater nn ampchecked vbd,1,<NN><VBD>
heater fitted,heater nn fitted vbd,1,<NN><VBD>
heater found,heater nn found vbd,1,<NN><VBD>
heater got,heater nn got vbd,1,<NN><VBD>
heater had,heater nn had vbd,1,<NN><VBD>
heater isolated,heater nn isolated vbd,1,<NN><VBD>
heater on motor,heater nn on in_pos motor nn,1,<NN><IN><NN>
heater used,heater nn used vbn,1,<NN><VBN>
heater was,heater nn was vbd,1,<NN><VBD>
heaters amp,heaters nns amp vbp,1,<NNS><VBP>
heaters appear,heaters nns appear vbp,1,<NNS><VBP>
heaters are,heaters nns are vbp,1,<NNS><VBP>
heaters carried,heaters nns carried vbd,1,<NNS><VBD>
heaters closed,heaters nns closed vbd,1,<NNS><VBD>
heaters common,heaters nns common jj,1,<NNS><JJ>
heaters confirmed,heaters nns confirmed vbd,1,<NNS><VBD>
heaters current,heaters nns current jj,1,<NNS><JJ>
heaters defective,heaters nns defective vbp,1,<NNS><VBP>
heaters found,heaters nns found vbd,1,<NNS><VBD>
heaters operational,heaters nns operational jj,1,<NNS><JJ>
heaters were,heaters nns were vbd,1,<NNS><VBD>
here idepartmentselectricalnovmud,here rb idepartmentselectricalnovmud nn,1,<RB><NN>
high,high jj,1,<JJ>
highlighted,highlighted vbn,1,<VBN>
hits winding,hits nns winding vbg,1,<NNS><VBG>
hmi was,hmi nn was vbd,1,<NN><VBD>
holes tighten,holes nns tighten vbp,1,<NNS><VBP>
holes were,holes nns were vbd,1,<NNS><VBD>
hooks are,hooks nns are vbp,1,<NNS><VBP>
hoses are,hoses nns are vbp,1,<NNS><VBP>
hoses enclosurs,hoses nns enclosurs vbp,1,<NNS><VBP>
hoses look,hoses nns look vbp,1,<NNS><VBP>
hoses noted,hoses nns noted vbd,1,<NNS><VBD>
hoses ok,hoses nns ok vbp,1,<NNS><VBP>
hot,hot jj,1,<JJ>
hour measured,hour nn measured vbd,1,<NN><VBD>
hours last,hours nns last jj,1,<NNS><JJ>
housekeeping,housekeeping vbg,1,<VBG>
hqsopstibdwks correct,hqsopstibdwks nns correct vbp,1,<NNS><VBP>
hqsopstibdwks visualized,hqsopstibdwks nns visualized vbd,1,<NNS><VBD>
hs did,hs nn did vbd,1,<NN><VBD>
i have,i nns have vbp,1,<NNS><VBP>
i moved,i nn moved vbd,1,<NN><VBD>
i ready,i nns ready vbp,1,<NNS><VBP>
ibop closed,ibop nn closed vbd,1,<NN><VBD>
icn for order,icn nn for in_pos order nn,1,<NN><IN><NN>
ics marcelo,ics nns marcelo vbp,1,<NNS><VBP>
id in place,id nn in in_pos place nn,1,<NN><IN><NN>
id was,id nn was vbd,1,<NN><VBD>
identical,identical jj,1,<JJ>
identified,identified vbn,1,<VBN>
idle,idle jj,1,<JJ>
ids are,ids nns are vbp,1,<NNS><VBP>
if accessible motor,if in_pos accessible jj motor nn,1,<IN><JJ><NN>
if drilling,if in_pos drilling nn,1,<IN><NN>
if visual examination,if in_pos visual jj examination nn,1,<IN><JJ><NN>
impeller blades inspection,impeller nn blades nns inspection nn,1,<NN><NNS><NN>
impeller by hand,impeller nn by in_pos hand nn,1,<NN><IN><NN>
impeller cleaned,impeller nn cleaned vbd,1,<NN><VBD>
impeller noted,impeller nn noted vbd,1,<NN><VBD>
impeller on board,impeller nn on in_pos board nn,1,<NN><IN><NN>
impeller repaired,impeller nn repaired vbd,1,<NN><VBD>
impeller was,impeller nn was vbd,1,<NN><VBD>
impellers impeller,impellers nns impeller vbp,1,<NNS><VBP>
impellors were,impellors nns were vbd,1,<NNS><VBD>
imppler attched,imppler nn attched vbd,1,<NN><VBD>
imppler in center,imppler nn in in_pos center nn,1,<NN><IN><NN>
in abnormal task,in in_pos abnormal jj task nn,1,<IN><JJ><NN>
in acceptable condition,in in_pos acceptable jj condition nn,1,<IN><JJ><NN>
in acceptable conditiuon,in in_pos acceptable jj conditiuon nn,1,<IN><JJ><NN>
in acceptable conditon,in in_pos acceptable jj conditon nn,1,<IN><JJ><NN>
in accetable condition,in in_pos accetable jj condition nn,1,<IN><JJ><NN>
in accordance,in in_pos accordance nn,1,<IN><NN>
in aceeptable condition,in in_pos aceeptable jj condition nn,1,<IN><JJ><NN>
in adequate condition,in in_pos adequate jj condition nn,1,<IN><JJ><NN>
in advance,in in_pos advance nn,1,<IN><NN>
in agreement,in in_pos agreement nn,1,<IN><NN>
in attachment,in in_pos attachment nn,1,<IN><NN>
in ballast pump,in in_pos ballast nn pump nn,1,<IN><NN><NN>
in by weston,in in_pos by in_pos weston nn,1,<IN><IN><NN>
in c m,in in_pos c nns m nns,1,<IN><NNS><NNS>
in c ms,in in_pos c nns ms nns,1,<IN><NNS><NNS>
in check,in in_pos check nn,1,<IN><NN>
in circuit,in in_pos circuit nn,1,<IN><NN>
in comparison,in in_pos comparison nn,1,<IN><NN>
in condition,in in_pos condition nn,1,<IN><NN>
in conjunction,in in_pos conjunction nn,1,<IN><NN>
in coordination,in in_pos coordination nn,1,<IN><NN>
in correct place,in in_pos correct jj place nn,1,<IN><JJ><NN>
in cover,in in_pos cover nn,1,<IN><NN>
in cyprinia,in in_pos cyprinia nn,1,<IN><NN>
in date,in in_pos date nn,1,<IN><NN>
in dci,in in_pos dci nn,1,<IN><NN>
in deg c,in in_pos deg nn c nn,1,<IN><NN><NN>
in drive,in in_pos drive nn,1,<IN><NN>
in drive motor,in in_pos drive jj motor nn,1,<IN><JJ><NN>
in early march,in in_pos early jj march nn,1,<IN><JJ><NN>
in end,in in_pos end nn,1,<IN><NN>
in error,in in_pos error nn,1,<IN><NN>
in fan,in in_pos fan nn,1,<IN><NN>
in feb,in in_pos feb nn,1,<IN><NN>
in for analysis,in in_pos for in_pos analysis nn,1,<IN><IN><NN>
in for repair,in in_pos for in_pos repair nn,1,<IN><IN><NN>
in gathering,in in_pos gathering nn,1,<IN><NN>
in gland,in in_pos gland nn,1,<IN><NN>
in good condiiton,in in_pos good jj condiiton nn,1,<IN><JJ><NN>
in good conditio,in in_pos good jj conditio nn,1,<IN><JJ><NN>
in good condition,in in_pos good jj condition nn,1,<IN><JJ><NN>
in good conditionno,in in_pos good jj conditionno nn,1,<IN><JJ><NN>
in good conditionunit,in in_pos good jj conditionunit nn,1,<IN><JJ><NN>
in good conditon,in in_pos good jj conditon nn,1,<IN><JJ><NN>
in good contion,in in_pos good jj contion nn,1,<IN><JJ><NN>
in good operating,in in_pos good jj operating nn,1,<IN><JJ><NN>
in good order,in in_pos good jj order nn,1,<IN><JJ><NN>
in good running,in in_pos good jj running nn,1,<IN><JJ><NN>
in good shape,in in_pos good jj shape nn,1,<IN><JJ><NN>
in good shapeno,in in_pos good jj shapeno nn,1,<IN><JJ><NN>
in good workinbg,in in_pos good jj workinbg nn,1,<IN><JJ><NN>
in good working,in in_pos good jj working nn,1,<IN><JJ><NN>
in hazardous area,in in_pos hazardous jj area nn,1,<IN><JJ><NN>
in housing,in in_pos housing nn,1,<IN><NN>
in ielectrical dept,in in_pos ielectrical jj dept nn,1,<IN><JJ><NN>
in inspection,in in_pos inspection nn,1,<IN><NN>
in jb,in in_pos jb nn,1,<IN><NN>
in jbs,in in_pos jbs nn,1,<IN><NN>
in job,in in_pos job nn,1,<IN><NN>
in junction,in in_pos junction nn,1,<IN><NN>
in light,in in_pos light nn,1,<IN><NN>
in local control,in in_pos local jj control nn,1,<IN><JJ><NN>
in loose condition,in in_pos loose jj condition nn,1,<IN><JJ><NN>
in maintenance,in in_pos maintenance nn,1,<IN><NN>
in march,in in_pos march nn,1,<IN><NN>
in mind,in in_pos mind nn,1,<IN><NN>
in motor,in in_pos motor nn,1,<IN><NN>
in mp,in in_pos mp nn,1,<IN><NN>
in mpa motor,in in_pos mpa nn motor nn,1,<IN><NN><NN>
in mudpump,in in_pos mudpump nn,1,<IN><NN>
in need,in in_pos need nn,1,<IN><NN>
in none,in in_pos none nn,1,<IN><NN>
in normal operating,in in_pos normal jj operating nn,1,<IN><JJ><NN>
in normal operation,in in_pos normal jj operation nn,1,<IN><JJ><NN>
in operation,in in_pos operation nn,1,<IN><NN>
in order,in in_pos order nn,1,<IN><NN>
in perfect shape,in in_pos perfect jj shape nn,1,<IN><JJ><NN>
in place,in in_pos place nn,1,<IN><NN>
in poor condition,in in_pos poor jj condition nn,1,<IN><JJ><NN>
in previous trouble,in in_pos previous jj trouble nn,1,<IN><JJ><NN>
in question,in in_pos question nn,1,<IN><NN>
in remote mode,in in_pos remote jj mode nn,1,<IN><JJ><NN>
in report,in in_pos report nn,1,<IN><NN>
in safe area,in in_pos safe jj area nn,1,<IN><JJ><NN>
in safe zone,in in_pos safe jj zone nn,1,<IN><JJ><NN>
in satisfactory condition,in in_pos satisfactory jj condition nn,1,<IN><JJ><NN>
in september,in in_pos september nn,1,<IN><NN>
in service,in in_pos service nn,1,<IN><NN>
in servicejob,in in_pos servicejob nn,1,<IN><NN>
in situ see,in in_pos situ nn see nn,1,<IN><NN><NN>
in system,in in_pos system nn,1,<IN><NN>
in tact,in in_pos tact nn,1,<IN><NN>
in th,in in_pos th nn,1,<IN><NN>
in thruster,in in_pos thruster nn,1,<IN><NN>
in transit,in in_pos transit nn,1,<IN><NN>
in transition,in in_pos transition nn,1,<IN><NN>
in use,in in_pos use nn,1,<IN><NN>
in vibration,in in_pos vibration nn,1,<IN><NN>
in visual inspection,in in_pos visual jj inspection nn,1,<IN><JJ><NN>
in wc,in in_pos wc nn,1,<IN><NN>
in with pressure,in in_pos with in_pos pressure nn,1,<IN><IN><NN>
in word,in in_pos word nn,1,<IN><NN>
in work,in in_pos work nn,1,<IN><NN>
in workshop,in in_pos workshop nn,1,<IN><NN>
including,including vbg,1,<VBG>
incoming,incoming vbg,1,<VBG>
increased,increased vbn,1,<VBN>
indicated,indicated vbn,1,<VBN>
indication on front,indication nn on in_pos front nn,1,<NN><IN><NN>
information on job,information nn on in_pos job nn,1,<NN><IN><NN>
information on mud,information nn on in_pos mud nn,1,<NN><IN><NN>
informed,informed vbn,1,<VBN>
