phrases,tagged_phrases,Tags,POS_TAGS_OF_PHRASE
motors confirmed,motors nns confirmed vbd,NNS VBD,<NNS><VBD>
motors current,motors nns current jj,NNS JJ,<NNS><JJ>
motors do,motors nns do vbp,NNS VBP,<NNS><VBP>
motors donot,motors nns donot vbp,NNS VBP,<NNS><VBP>
motors due,motors nns due jj,NNS JJ,<NNS><JJ>
motors edocs,motors nns edocs vbp,NNS VBP,<NNS><VBP>
motors fan,motors nns fan vbp,NNS VBP,<NNS><VBP>
motors found,motors nns found vbd,NNS VBD,<NNS><VBD>
motors get,motors nns get vbp,NNS VBP,<NNS><VBP>
motors had,motors nns had vbd,NNS VBD,<NNS><VBD>
motors have,motors nns have vbp,NNS VBP,<NNS><VBP>
motors havent,motors nns havent vbd,NNS VBD,<NNS><VBD>
motors impellor,motors nns impellor vbp,NNS VBP,<NNS><VBP>
motors inspected,motors nns inspected vbd,NNS VBD,<NNS><VBD>
motors lifted,motors nns lifted vbd,NNS VBD,<NNS><VBD>
motors main,motors nns main jj,NNS JJ,<NNS><JJ>
motors megged,motors nns megged vbd,NNS VBD,<NNS><VBD>
motors need,motors nns need vbp,NNS VBP,<NNS><VBP>
motors note,motors nns note vbp,NNS VBP,<NNS><VBP>
motors opened,motors nns opened vbd,NNS VBD,<NNS><VBD>
motors overhaul,motors nns overhaul vbp,NNS VBP,<NNS><VBP>
motors performed,motors nns performed vbd,NNS VBD,<NNS><VBD>
motors pm,motors nns pm vbp,NNS VBP,<NNS><VBP>
motors removal,motors nns removal vbp,NNS VBP,<NNS><VBP>
motors removed,motors nns removed vbd,NNS VBD,<NNS><VBD>
motors replacement,motors nns replacement nn,NNS NN,<NNS><NN>
motors returned,motors nns returned vbd,NNS VBD,<NNS><VBD>
motors rotated,motors nns rotated vbd,NNS VBD,<NNS><VBD>
motors run,motors nns run vbp,NNS VBP,<NNS><VBP>
motors sealed,motors nns sealed vbd,NNS VBD,<NNS><VBD>
motors sound,motors nns sound vbd,NNS VBD,<NNS><VBD>
motors step,motors nns step vbp,NNS VBP,<NNS><VBP>
motors tested,motors nns tested vbd,NNS VBD,<NNS><VBD>
motors third,motors nns third vbp,NNS VBP,<NNS><VBP>
motors use,motors nns use vbp,NNS VBP,<NNS><VBP>
motors vibration,motors nns vibration nn,NNS NN,<NNS><NN>
motors visualized,motors nns visualized vbd,NNS VBD,<NNS><VBD>
motors were,motors nns were vbd,NNS VBD,<NNS><VBD>
motorthis had,motorthis nn had vbd,NN VBD,<NN><VBD>
mounted,mounted vbn,VBN,<VBN>
mounting,mounting vbg,VBG,<VBG>
mounting had,mounting nn had vbd,NN VBD,<NN><VBD>
mounting replaced,mounting nn replaced vbd,NN VBD,<NN><VBD>
mounting was,mounting nn was vbd,NN VBD,<NN><VBD>
mountings were,mountings nns were vbd,NNS VBD,<NNS><VBD>
mounts are,mounts nns are vbp,NNS VBP,<NNS><VBP>
mounts n,mounts nns n vbp,NNS VBP,<NNS><VBP>
mounts na,mounts nns na to_pos,NNS TO,<NNS><TO>
mounts ok,mounts nns ok vbp,NNS VBP,<NNS><VBP>
moved,moved vbn,VBN,<VBN>
movement sourced,movement nn sourced vbd,NN VBD,<NN><VBD>
moving,moving vbg,VBG,<VBG>
mp,mp nn,NN,<NN>
mp b motor,mp nn b nn motor nn,NN NN NN,<NN><NN><NN>
mp drive,mp nns drive vbp,NNS VBP,<NNS><VBP>
mp mtr,mp nn mtr nn,NN NN,<NN><NN>
mpa amp mpb,mpa nn amp nn mpb nn,NN NN NN,<NN><NN><NN>
mrach,mrach nn,NN,<NN>
msn created,msn nn created vbd,NN VBD,<NN><VBD>
much,much jj,JJ,<JJ>
mud,mud nn,NN,<NN>
mud contacted,mud nn contacted vbd,NN VBD,<NN><VBD>
mud pump,mud nn pump nn,NN NN,<NN><NN>
multiple,multiple nn,NN,<NN>
mumbai,mumbai nn,NN,<NN>
must be added,must md be vb added vbn,MD VB VBN,<MD><VB><VBN>
must be installed,must md be vb installed vbn,MD VB VBN,<MD><VB><VBN>
must be performed,must md be vb performed vbn,MD VB VBN,<MD><VB><VBN>
must be replaced,must md be vb replaced vbn,MD VB VBN,<MD><VB><VBN>
n,n nn,NN,<NN>
n anot,n rb anot nn,RB NN,<RB><NN>
na,na nns,NNS,<NNS>
na free,na rb free jj,RB JJ,<RB><JJ>
na na,na to_pos na nns,TO NNS,<TO><NNS>
nameplate,nameplate nn,NN,<NN>
nameplate in place,nameplate nn in in_pos place nn,NN IN NN,<NN><IN><NN>
nameplate was,nameplate nn was vbd,NN VBD,<NN><VBD>
nameplates are,nameplates nns are vbp,NNS VBP,<NNS><VBP>
nameplates legible,nameplates nns legible jj,NNS JJ,<NNS><JJ>
napro,napro nns,NNS,<NNS>
nc found,nc nn found vbd,NN VBD,<NN><VBD>
nd,nd nn,NN,<NN>
nde,nde nn,NN,<NN>
nde degree,nde nns degree vbp,NNS VBP,<NNS><VBP>
nde was,nde nn was vbd,NN VBD,<NN><VBD>
necessary,necessary jj,JJ,<JJ>
need replaced,need nn replaced vbd,NN VBD,<NN><VBD>
need to be,need nn to to_pos be vb,NN TO VB,<NN><TO><VB>
need to complete,need nn to to_pos complete vb,NN TO VB,<NN><TO><VB>
need to lubricate,need nn to to_pos lubricate vb,NN TO VB,<NN><TO><VB>
need to replace,need nn to to_pos replace vb,NN TO VB,<NN><TO><VB>
needed,needed vbn,VBN,<VBN>
needing,needing vbg,VBG,<VBG>
negraes,negraes nn,NN,<NN>
never installed,never rb installed vbn,RB VBN,<RB><VBN>
new,new jj,JJ,<JJ>
next,next jj,JJ,<JJ>
next due,next jj due jj,JJ JJ,<JJ><JJ>
nf,nf nn,NN,<NN>
nichols fabio,nichols nns fabio vbp,NNS VBP,<NNS><VBP>
nicks cuts,nicks nns cuts nns,NNS NNS,<NNS><NNS>
nicks ok,nicks nns ok vbp,NNS VBP,<NNS><VBP>
nitrogen in accordance,nitrogen nn in in_pos accordance nn,NN IN NN,<NN><IN><NN>
no ability,no dt ability nn,DT NN,<DT><NN>
no abnormal,no dt abnormal jj,DT JJ,<DT><JJ>
no abnormalities,no dt abnormalities nns,DT NNS,<DT><NNS>
no abnormality,no dt abnormality nn,DT NN,<DT><NN>
no action,no dt action nn,DT NN,<DT><NN>
no active,no dt active jj,DT JJ,<DT><JJ>
no air,no dt air nn,DT NN,<DT><NN>
no anomalies,no dt anomalies nns,DT NNS,<DT><NNS>
no anomolies,no dt anomolies nns,DT NNS,<DT><NNS>
no apparent,no dt apparent nn,DT NN,<DT><NN>
no apparnt,no dt apparnt nn,DT NN,<DT><NN>
no appicable,no dt appicable jj,DT JJ,<DT><JJ>
no applicable,no dt applicable jj,DT JJ,<DT><JJ>
no bearing,no dt bearing nn,DT NN,<DT><NN>
no bolt,no dt bolt nn,DT NN,<DT><NN>
no bolts,no dt bolts nns,DT NNS,<DT><NNS>
no broken,no dt broken nn,DT NN,<DT><NN>
no build,no dt build nn,DT NN,<DT><NN>
no buildup,no dt buildup nn,DT NN,<DT><NN>
no cables,no dt cables nns,DT NNS,<DT><NNS>
no close,no dt close nn,DT NN,<DT><NN>
no condensation,no dt condensation nn,DT NN,<DT><NN>
no coolant,no dt coolant nn,DT NN,<DT><NN>
no corrosion,no dt corrosion nn,DT NN,<DT><NN>
no crack,no dt crack nn,DT NN,<DT><NN>
no cracked,no dt cracked nn,DT NN,<DT><NN>
no cracks,no dt cracks nns,DT NNS,<DT><NNS>
no crcaks,no dt crcaks nn,DT NN,<DT><NN>
no current,no dt current jj,DT JJ,<DT><JJ>
no cuts,no dt cuts nns,DT NNS,<DT><NNS>
no damage,no dt damage nn,DT NN,<DT><NN>
no damages,no dt damages nns,DT NNS,<DT><NNS>
no damge,no dt damge nn,DT NN,<DT><NN>
no data,no dt data nn,DT NN,<DT><NN>
no debris,no dt debris nn,DT NN,<DT><NN>
no defeciencies,no dt defeciencies nns,DT NNS,<DT><NNS>
no defect,no dt defect nn,DT NN,<DT><NN>
no defects,no dt defects nns,DT NNS,<DT><NNS>
no demister,no dt demister nn,DT NN,<DT><NN>
no deviations,no dt deviations nns,DT NNS,<DT><NNS>
no dirt,no dt dirt nn,DT NN,<DT><NN>
no discrepancies,no dt discrepancies nns,DT NNS,<DT><NNS>
no door,no dt door nn,DT NN,<DT><NN>
no drain,no dt drain nn,DT NN,<DT><NN>
no dust,no dt dust nn,DT NN,<DT><NN>
no earth,no dt earth nn,DT NN,<DT><NN>
no encoder,no dt encoder nn,DT NN,<DT><NN>
no excess,no dt excess jj,DT JJ,<DT><JJ>
no excessive,no dt excessive jj,DT JJ,<DT><JJ>
no external,no dt external jj,DT JJ,<DT><JJ>
no fan,no dt fan nn,DT NN,<DT><NN>
no faults,no dt faults nns,DT NNS,<DT><NNS>
no filter,no dt filter nn,DT NN,<DT><NN>
no filters,no dt filters nns,DT NNS,<DT><NNS>
no found,no dt found nn,DT NN,<DT><NN>
no function,no dt function nn,DT NN,<DT><NN>
no greasing,no dt greasing nn,DT NN,<DT><NN>
no ground,no dt ground nn,DT NN,<DT><NN>
no heater,no dt heater nn,DT NN,<DT><NN>
no heaters,no dt heaters nns,DT NNS,<DT><NNS>
no hot,no dt hot jj,DT JJ,<DT><JJ>
no immediate,no dt immediate jj,DT JJ,<DT><JJ>
no initial,no dt initial jj,DT JJ,<DT><JJ>
no isssues,no dt isssues nns,DT NNS,<DT><NNS>
no issue,no dt issue nn,DT NN,<DT><NN>
no issues,no dt issues nns,DT NNS,<DT><NNS>
no issures,no dt issures nns,DT NNS,<DT><NNS>
no kinks,no dt kinks nns,DT NNS,<DT><NNS>
no leak,no dt leak nn,DT NN,<DT><NN>
no leaks,no dt leaks nns,DT NNS,<DT><NNS>
no loose,no dt loose jj,DT JJ,<DT><JJ>
no lubrication,no dt lubrication nn,DT NN,<DT><NN>
no maint,no dt maint nn,DT NN,<DT><NN>
no major,no dt major jj,DT JJ,<DT><JJ>
no mechanical,no dt mechanical jj,DT JJ,<DT><JJ>
no missing hardware,no dt missing vbg hardware nn,DT VBG NN,<DT><VBG><NN>
no moisture,no dt moisture nn,DT NN,<DT><NN>
no motor,no dt motor nn,DT NN,<DT><NN>
no mud,no dt mud nn,DT NN,<DT><NN>
no necessary,no dt necessary jj,DT JJ,<DT><JJ>
no need,no dt need nn,DT NN,<DT><NN>
no nicks,no dt nicks nns,DT NNS,<DT><NNS>
no noise,no dt noise nn,DT NN,<DT><NN>
no noises,no dt noises nns,DT NNS,<DT><NNS>
no notable,no dt notable jj,DT JJ,<DT><JJ>
no observable,no dt observable jj,DT JJ,<DT><JJ>
no other,no dt other jj,DT JJ,<DT><JJ>
no overheating,no dt overheating nn,DT NN,<DT><NN>
no paint,no dt paint nn,DT NN,<DT><NN>
no pdcm,no dt pdcm nn,DT NN,<DT><NN>
no pi,no dt pi nn,DT NN,<DT><NN>
no possible,no dt possible jj,DT JJ,<DT><JJ>
no power,no dt power nn,DT NN,<DT><NN>
no precharge,no dt precharge nn,DT NN,<DT><NN>
no problem,no dt problem nn,DT NN,<DT><NN>
no problems,no dt problems nns,DT NNS,<DT><NNS>
no pulsation,no dt pulsation nn,DT NN,<DT><NN>
no pumps,no dt pumps nns,DT NNS,<DT><NNS>
no remote,no dt remote nn,DT NN,<DT><NN>
no repairs,no dt repairs nns,DT NNS,<DT><NNS>
no replacements,no dt replacements nns,DT NNS,<DT><NNS>
no rust,no dt rust nn,DT NN,<DT><NN>
no screens,no dt screens nns,DT NNS,<DT><NNS>
no sign,no dt sign nn,DT NN,<DT><NN>
no signal,no dt signal nn,DT NN,<DT><NN>
no signs,no dt signs nns,DT NNS,<DT><NNS>
no spark,no dt spark nn,DT NN,<DT><NN>
no speed,no dt speed nn,DT NN,<DT><NN>
no start,no dt start nn,DT NN,<DT><NN>
no substantial,no dt substantial jj,DT JJ,<DT><JJ>
no success,no dt success nn,DT NN,<DT><NN>
no thread,no dt thread nn,DT NN,<DT><NN>
no time,no dt time nn,DT NN,<DT><NN>
no unusual,no dt unusual jj,DT JJ,<DT><JJ>
no vibration,no dt vibration nn,DT NN,<DT><NN>
no vibrations,no dt vibrations nns,DT NNS,<DT><NNS>
no visable,no dt visable jj,DT JJ,<DT><JJ>
no visible,no dt visible jj,DT JJ,<DT><JJ>
no visual,no dt visual jj,DT JJ,<DT><JJ>
no water,no dt water nn,DT NN,<DT><NN>
no were,no dt were vbd,DT VBD,<DT><VBD>
no window,no dt window nn,DT NN,<DT><NN>
noise,noise nn,NN,<NN>
noise checked,noise nn checked vbd,NN VBD,<NN><VBD>
noise documented,noise rb documented vbn,RB VBN,<RB><VBN>
noise found,noise nn found vbd,NN VBD,<NN><VBD>
noise noted,noise rb noted vbn,RB VBN,<RB><VBN>
noise observed,noise nn observed vbd,NN VBD,<NN><VBD>
noise started,noise nn started vbd,NN VBD,<NN><VBD>
noise was,noise nn was vbd,NN VBD,<NN><VBD>
noises ac,noises nns ac vbp,NNS VBP,<NNS><VBP>
noises checked,noises nns checked vbd,NNS VBD,<NNS><VBD>
noises due,noises nns due jj,NNS JJ,<NNS><JJ>
noises etc,noises nns etc vbp,NNS VBP,<NNS><VBP>
noises feel,noises nns feel vbp,NNS VBP,<NNS><VBP>
noises felt,noises nns felt vbd,NNS VBD,<NNS><VBD>
noises found,noises nns found vbd,NNS VBD,<NNS><VBD>
noises heard,noises nns heard vbd,NNS VBD,<NNS><VBD>
noises listened,noises nns listened vbd,NNS VBD,<NNS><VBD>
noises noted,noises nns noted vbd,NNS VBD,<NNS><VBD>
noises notedor,noises nns notedor vbp,NNS VBP,<NNS><VBP>
noises observed,noises nns observed vbd,NNS VBD,<NNS><VBD>
noises was,noises nns was vbd,NNS VBD,<NNS><VBD>
noises were,noises nns were vbd,NNS VBD,<NNS><VBD>
noisesno,noisesno nn,NN,<NN>
noisesok have,noisesok nns have vbp,NNS VBP,<NNS><VBP>
nominal,nominal jj,JJ,<JJ>
non,non nn,NN,<NN>
non found,non nn found vbd,NN VBD,<NN><VBD>
non issued,non nn issued vbd,NN VBD,<NN><VBD>
nonclosed,nonclosed vbn,VBN,<VBN>
nondrive,nondrive jj,JJ,<JJ>
none closed,none nn closed vbd,NN VBD,<NN><VBD>
none detected,none nn detected vbd,NN VBD,<NN><VBD>
none found,none nn found vbd,NN VBD,<NN><VBD>
none noticed,none nn noticed vbd,NN VBD,<NN><VBD>
none observed,none nn observed vbd,NN VBD,<NN><VBD>
none were,none nn were vbd,NN VBD,<NN><VBD>
normal,normal jj,JJ,<JJ>
not able,not rb able jj,RB JJ,<RB><JJ>
not abnormal,not rb abnormal jj,RB JJ,<RB><JJ>
not accessible,not rb accessible jj,RB JJ,<RB><JJ>
not achieved,not rb achieved vbn,RB VBN,<RB><VBN>
not applicable,not rb applicable jj,RB JJ,<RB><JJ>
not available,not rb available jj,RB JJ,<RB><JJ>
not been,not rb been vbn,RB VBN,<RB><VBN>
not calibrated,not rb calibrated vbn,RB VBN,<RB><VBN>
not come,not rb come vb,RB VB,<RB><VB>
not complete,not rb complete jj,RB JJ,<RB><JJ>
not completed,not rb completed vbn,RB VBN,<RB><VBN>
not conducted,not rb conducted vbn,RB VBN,<RB><VBN>
not corroded,not rb corroded vbn,RB VBN,<RB><VBN>
not damaged,not rb damaged vbn,RB VBN,<RB><VBN>
not degraded,not rb degraded vbn,RB VBN,<RB><VBN>
not done,not rb done vbn,RB VBN,<RB><VBN>
not due,not rb due jj,RB JJ,<RB><JJ>
not equiped,not rb equiped vbn,RB VBN,<RB><VBN>
not equipped,not rb equipped vbn,RB VBN,<RB><VBN>
not fitted,not rb fitted vbn,RB VBN,<RB><VBN>
not following pm,not rb following vbg pm nn,RB VBG NN,<RB><VBG><NN>
not following pmsr,not rb following vbg pmsr nn,RB VBG NN,<RB><VBG><NN>
not found,not rb found vbn,RB VBN,<RB><VBN>
not gresed,not rb gresed vbn,RB VBN,<RB><VBN>
not had,not rb had vbd,RB VBD,<RB><VBD>
not in good shape,not rb in in_pos good jj shape nn,RB IN JJ NN,<RB><IN><JJ><NN>
not in hazardous area,not rb in in_pos hazardous jj area nn,RB IN JJ NN,<RB><IN><JJ><NN>
not in operation,not rb in in_pos operation nn,RB IN NN,<RB><IN><NN>
not in place,not rb in in_pos place nn,RB IN NN,<RB><IN><NN>
not in use,not rb in in_pos use nn,RB IN NN,<RB><IN><NN>
not inspected,not rb inspected vbn,RB VBN,<RB><VBN>
not installed,not rb installed vbn,RB VBN,<RB><VBN>
not lift,not rb lift vb,RB VB,<RB><VB>
not listed,not rb listed vbn,RB VBN,<RB><VBN>
not located,not rb located vbn,RB VBN,<RB><VBN>
not necessary,not rb necessary jj,RB JJ,<RB><JJ>
not needed,not rb needed vbn,RB VBN,<RB><VBN>
not noticed,not rb noticed vbn,RB VBN,<RB><VBN>
not observed,not rb observed vbn,RB VBN,<RB><VBN>
not other,not rb other jj,RB JJ,<RB><JJ>
not performed,not rb performed vbn,RB VBN,<RB><VBN>
not possible,not rb possible jj,RB JJ,<RB><JJ>
not ran,not rb ran vb,RB VB,<RB><VB>
not reached,not rb reached vbn,RB VBN,<RB><VBN>
not removed,not rb removed vbn,RB VBN,<RB><VBN>
not required,not rb required vbn,RB VBN,<RB><VBN>
not soft,not rb soft jj,RB JJ,<RB><JJ>
not started,not rb started vbn,RB VBN,<RB><VBN>
not suitable,not rb suitable jj,RB JJ,<RB><JJ>
not sure,not rb sure jj,RB JJ,<RB><JJ>
not taken,not rb taken vbn,RB VBN,<RB><VBN>
not tripped,not rb tripped vbn,RB VBN,<RB><VBN>
not used,not rb used vbn,RB VBN,<RB><VBN>
not wired,not rb wired vbn,RB VBN,<RB><VBN>
note,note nn,NN,<NN>
note below task,note nn below in_pos task nn,NN IN NN,<NN><IN><NN>
note checked,note nn checked vbd,NN VBD,<NN><VBD>
note if rig,note nn if in_pos rig nn,NN IN NN,<NN><IN><NN>
note make,note nn make vbp,NN VBP,<NN><VBP>
note was,note nn was vbd,NN VBD,<NN><VBD>
noted,noted vbn,VBN,<VBN>
notedbearing,notedbearing vbg,VBG,<VBG>
notes entered,notes nns entered vbd,NNS VBD,<NNS><VBD>
notethe,notethe nn,NN,<NN>
notethis,notethis nn,NN,<NN>
nothing found,nothing nn found vbd,NN VBD,<NN><VBD>
nothing in abnoraml,nothing nn in in_pos abnoraml nn,NN IN NN,<NN><IN><NN>
nothing observed,nothing nn observed vbd,NN VBD,<NN><VBD>
nothing to report,nothing nn to to_pos report vb,NN TO VB,<NN><TO><VB>
nothing was,nothing nn was vbd,NN VBD,<NN><VBD>
noticed,noticed vbn,VBN,<VBN>
nov,nov nn,NN,<NN>
now been,now rb been vbn,RB VBN,<RB><VBN>
now complete,now rb complete jj,RB JJ,<RB><JJ>
now in use,now rb in in_pos use nn,RB IN NN,<RB><IN><NN>
now performed,now rb performed vbn,RB VBN,<RB><VBN>
nspected,nspected vbn,VBN,<VBN>
number to fit,number nn to to_pos fit vb,NN TO VB,<NN><TO><VB>
number was,number nn was vbd,NN VBD,<NN><VBD>
o,o nn,NN,<NN>
observed,observed vbn,VBN,<VBN>
oem,oem nn,NN,<NN>
oer,oer nn,NN,<NN>
oerdid was,oerdid nn was vbd,NN VBD,<NN><VBD>
of abnormal,of in_pos abnormal jj,IN JJ,<IN><JJ>
of ac,of in_pos ac nn,IN NN,<IN><NN>
of alarm,of in_pos alarm nn,IN NN,<IN><NN>
of analysis,of in_pos analysis nn,IN NN,<IN><NN>
of b,of in_pos b nn,IN NN,<IN><NN>
of bar,of in_pos bar nn,IN NN,<IN><NN>
of blower,of in_pos blower nn,IN NN,<IN><NN>
of build,of in_pos build nn,IN NN,<IN><NN>
of closed,of in_pos closed jj,IN JJ,<IN><JJ>
of concern,of in_pos concern nn,IN NN,<IN><NN>
of corrosion,of in_pos corrosion nn,IN NN,<IN><NN>
of cyprina,of in_pos cyprina nn,IN NN,<IN><NN>
of damage,of in_pos damage nn,IN NN,<IN><NN>
of debris,of in_pos debris nn,IN NN,<IN><NN>
of defective,of in_pos defective jj,IN JJ,<IN><JJ>
of differential,of in_pos differential jj,IN JJ,<IN><JJ>
of dirt,of in_pos dirt nn,IN NN,<IN><NN>
of discoloration,of in_pos discoloration nn,IN NN,<IN><NN>
of distress,of in_pos distress nn,IN NN,<IN><NN>
of drive,of in_pos drive nn,IN NN,<IN><NN>
of eex,of in_pos eex nn,IN NN,<IN><NN>
of electrical,of in_pos electrical jj,IN JJ,<IN><JJ>
of end,of in_pos end nn,IN NN,<IN><NN>
of ex,of in_pos ex nn,IN NN,<IN><NN>
of excessive,of in_pos excessive jj,IN JJ,<IN><JJ>
of exterior,of in_pos exterior jj,IN JJ,<IN><JJ>
of grease,of in_pos grease nn,IN NN,<IN><NN>
of heat,of in_pos heat nn,IN NN,<IN><NN>
of improper,of in_pos improper jj,IN JJ,<IN><JJ>
of infrared,of in_pos infrared jj,IN JJ,<IN><JJ>
of inpsection,of in_pos inpsection nn,IN NN,<IN><NN>
of inspection,of in_pos inspection nn,IN NN,<IN><NN>
of job,of in_pos job nn,IN NN,<IN><NN>
of junction,of in_pos junction nn,IN NN,<IN><NN>
of leakage,of in_pos leakage nn,IN NN,<IN><NN>
of local,of in_pos local jj,IN JJ,<IN><JJ>
of loose,of in_pos loose jj,IN JJ,<IN><JJ>
of loosening,of in_pos loosening vbg,IN VBG,<IN><VBG>
of low,of in_pos low jj,IN JJ,<IN><JJ>
of lubrication,of in_pos lubrication nn,IN NN,<IN><NN>
of manual,of in_pos manual jj,IN JJ,<IN><JJ>
of mechanical,of in_pos mechanical jj,IN JJ,<IN><JJ>
of misalignment,of in_pos misalignment nn,IN NN,<IN><NN>
of motor,of in_pos motor nn,IN NN,<IN><NN>
of mud,of in_pos mud nn,IN NN,<IN><NN>
of napro,of in_pos napro jj,IN JJ,<IN><JJ>
of normal,of in_pos normal jj,IN JJ,<IN><JJ>
of note,of in_pos note nn,IN NN,<IN><NN>
of nov,of in_pos nov nn,IN NN,<IN><NN>
of nowthe,of in_pos nowthe nn,IN NN,<IN><NN>
of o,of in_pos o nn,IN NN,<IN><NN>
of old,of in_pos old jj,IN JJ,<IN><JJ>
of plate,of in_pos plate nn,IN NN,<IN><NN>
of pm,of in_pos pm nn,IN NN,<IN><NN>
of possible,of in_pos possible jj,IN JJ,<IN><JJ>
of primer,of in_pos primer nn,IN NN,<IN><NN>
of psi,of in_pos psi nn,IN NN,<IN><NN>
of pumpwhen,of in_pos pumpwhen nn,IN NN,<IN><NN>
of remote,of in_pos remote nn,IN NN,<IN><NN>
of rust,of in_pos rust nn,IN NN,<IN><NN>
of start,of in_pos start nn,IN NN,<IN><NN>
of sufficient,of in_pos sufficient jj,IN JJ,<IN><JJ>
of test,of in_pos test nn,IN NN,<IN><NN>
of time,of in_pos time nn,IN NN,<IN><NN>
of tucked,of in_pos tucked nns,IN NNS,<IN><NNS>
of usage,of in_pos usage nn,IN NN,<IN><NN>
of use,of in_pos use nn,IN NN,<IN><NN>
of vibration,of in_pos vibration nn,IN NN,<IN><NN>
of water,of in_pos water nn,IN NN,<IN><NN>
off maintained,off rb maintained vbd,RB VBD,<RB><VBD>
off motor,off in_pos motor nn,IN NN,<IN><NN>
off open,off in_pos open jj,IN JJ,<IN><JJ>
offered,offered vbn,VBN,<VBN>
ofrattlig sound,ofrattlig nn sound nn,NN NN,<NN><NN>
ohm,ohm nn,NN,<NN>
ohm was,ohm nn was vbd,NN VBD,<NN><VBD>
ohms,ohms nn,NN,<NN>
ohms amps,ohms nn amps nns,NN NNS,<NN><NNS>
ohms checked,ohms nn checked vbd,NN VBD,<NN><VBD>
ohms made,ohms nns made vbd,NNS VBD,<NNS><VBD>
ohms retightened,ohms nn retightened vbd,NN VBD,<NN><VBD>
ohms to hull,ohms nn to to_pos hull vb,NN TO VB,<NN><TO><VB>
ok,ok nn,NN,<NN>
ok ensured,ok nn ensured vbd,NN VBD,<NN><VBD>
ok examined,ok nn examined vbd,NN VBD,<NN><VBD>
ok inspected,ok rb inspected vbn,RB VBN,<RB><VBN>
ok listened,ok nn listened vbd,NN VBD,<NN><VBD>
ok made,ok nns made vbd,NNS VBD,<NNS><VBD>
ok make,ok nns make vbp,NNS VBP,<NNS><VBP>
ok recorded,ok nn recorded vbd,NN VBD,<NN><VBD>
ok reinstalled,ok nn reinstalled vbd,NN VBD,<NN><VBD>
ok thread,ok jj thread nn,JJ NN,<JJ><NN>
ok was,ok nn was vbd,NN VBD,<NN><VBD>
okay,okay nn,NN,<NN>
old,old jj,JJ,<JJ>
on ac,on in_pos ac nn,IN NN,<IN><NN>
on after switch,on in_pos after in_pos switch nn,IN IN NN,<IN><IN><NN>
on b,on in_pos b nn,IN NN,<IN><NN>
on barrier,on in_pos barrier nn,IN NN,<IN><NN>
on belt,on in_pos belt nn,IN NN,<IN><NN>
on blower,on in_pos blower nn,IN NN,<IN><NN>
on board,on in_pos board nn,IN NN,<IN><NN>
on buss,on in_pos buss nn,IN NN,<IN><NN>
on cement,on in_pos cement nn,IN NN,<IN><NN>
on checked,on in_pos checked nns,IN NNS,<IN><NNS>
on closed,on in_pos closed vbd,IN VBD,<IN><VBD>
on completion,on in_pos completion nn,IN NN,<IN><NN>
on contactor,on in_pos contactor nn,IN NN,<IN><NN>
on current,on in_pos current jj,IN JJ,<IN><JJ>
on day,on in_pos day nn,IN NN,<IN><NN>
on dc,on in_pos dc nn,IN NN,<IN><NN>
on de,on in_pos de nns,IN NNS,<IN><NNS>
on document,on in_pos document nn,IN NN,<IN><NN>
on drive,on in_pos drive nn,IN NN,<IN><NN>
on duct,on in_pos duct nn,IN NN,<IN><NN>
on earth,on in_pos earth nn,IN NN,<IN><NN>
on electrical,on in_pos electrical jj,IN JJ,<IN><JJ>
on encoder,on in_pos encoder nn,IN NN,<IN><NN>
on equipment,on in_pos equipment nn,IN NN,<IN><NN>
on exterior,on in_pos exterior jj,IN JJ,<IN><JJ>
on fall,on in_pos fall nn,IN NN,<IN><NN>
on feb,on in_pos feb nn,IN NN,<IN><NN>
on floor,on in_pos floor nn,IN NN,<IN><NN>
on from dayshift,on in_pos from in_pos dayshift nn,IN IN NN,<IN><IN><NN>
on fwd,on in_pos fwd nn,IN NN,<IN><NN>
on good,on in_pos good jj,IN JJ,<IN><JJ>
on ground,on in_pos ground nn,IN NN,<IN><NN>
on hazardous,on in_pos hazardous jj,IN JJ,<IN><JJ>
on hmi,on in_pos hmi nn,IN NN,<IN><NN>
on in conjunction,on in_pos in in_pos conjunction nn,IN IN NN,<IN><IN><NN>
on issue,on in_pos issue nn,IN NN,<IN><NN>
on j,on in_pos j nn,IN NN,<IN><NN>
on jbs,on in_pos jbs nn,IN NN,<IN><NN>
on job,on in_pos job nn,IN NN,<IN><NN>
on junction,on in_pos junction nn,IN NN,<IN><NN>
on june,on in_pos june nn,IN NN,<IN><NN>
on leak,on in_pos leak nn,IN NN,<IN><NN>
on main,on in_pos main jj,IN JJ,<IN><JJ>
on march,on in_pos march nn,IN NN,<IN><NN>
on mcc,on in_pos mcc nn,IN NN,<IN><NN>
on motor,on in_pos motor nn,IN NN,<IN><NN>
on mp,on in_pos mp nn,IN NN,<IN><NN>
on mpa,on in_pos mpa nn,IN NN,<IN><NN>
on mpb,on in_pos mpb nn,IN NN,<IN><NN>
on mud,on in_pos mud nn,IN NN,<IN><NN>
on nde,on in_pos nde nns,IN NNS,<IN><NNS>
on nonclosed,on in_pos nonclosed jj,IN JJ,<IN><JJ>
on normal,on in_pos normal jj,IN JJ,<IN><JJ>
on nov,on in_pos nov nns,IN NNS,<IN><NNS>
on off control,on in_pos off rp control nn,IN RP NN,<IN><RP><NN>
on order,on in_pos order nn,IN NN,<IN><NN>
on place,on in_pos place nn,IN NN,<IN><NN>
