phrases,tagged_phrases,phrases_for_model,phrases_for_model_index,predicted_class,predicted_class_probabilities,indicator_of_score
of fresh oil,of in_pos fresh jj oil nn,"['of', 'in_pos', 'fresh', 'jj', 'oil', 'nn']","[8, 4374, 756, 4378, 9, 4373]",0,"[0.99172443, 0.027840316, 0.0001821518]",1
of fresh sp,of in_pos fresh jj sp nn,"['of', 'in_pos', 'fresh', 'jj', 'sp', 'nn']","[8, 4374, 756, 4378, 744, 4373]",0,"[0.970441, 0.00036120415, 0.04395351]",0
of ft ib,of in_pos ft nn ib nn,"['of', 'in_pos', 'ft', 'nn', 'ib', 'nn']","[8, 4374, 359, 4373, 2401, 4373]",0,"[0.9676402, 0.000104454746, 0.031956524]",0
of gear oil,of in_pos gear jj oil nn,"['of', 'in_pos', 'gear', 'jj', 'oil', 'nn']","[8, 4374, 102, 4378, 9, 4373]",0,"[0.9954835, 0.0012941957, 0.0018773377]",1
of graphite packing,of in_pos graphite jj packing nn,"['of', 'in_pos', 'graphite', 'jj', 'packing', 'nn']","[8, 4374, 4257, 4378, 290, 4373]",0,"[0.9981085, 9.87195e-06, 0.0008920431]",1
of hex pump,of in_pos hex jj pump nn,"['of', 'in_pos', 'hex', 'jj', 'pump', 'nn']","[8, 4374, 202, 4378, 3, 4373]",0,"[0.9851593, 0.017125726, 0.00067836046]",0
of increased damage,of in_pos increased vbn damage nn,"['of', 'in_pos', 'increased', 'vbn', 'damage', 'nn']","[8, 4374, 1911, 4372, 54, 4373]",2,"[0.00031033158, 0.0021866262, 0.9950649]",1
of inner race,of in_pos inner jj race nn,"['of', 'in_pos', 'inner', 'jj', 'race', 'nn']","[8, 4374, 566, 4378, 666, 4373]",0,"[0.94571996, 0.00020995736, 0.122197]",0
of intermediate rod,of in_pos intermediate jj rod nn,"['of', 'in_pos', 'intermediate', 'jj', 'rod', 'nn']","[8, 4374, 135, 4378, 53, 4373]",0,"[0.84196514, 1.9377194e-05, 0.6437683]",0
of leaks corrosion,of in_pos leaks nns corrosion nn,"['of', 'in_pos', 'leaks', 'nns', 'corrosion', 'nn']","[8, 4374, 43, 4376, 96, 4373]",2,"[0.0034370124, 9.772001e-05, 0.9989335]",1
of leaks damage,of in_pos leaks nns damage nn,"['of', 'in_pos', 'leaks', 'nns', 'damage', 'nn']","[8, 4374, 43, 4376, 54, 4373]",2,"[0.0011585057, 6.467639e-05, 0.9994297]",1
of leaks inlet,of in_pos leaks nns inlet nn,"['of', 'in_pos', 'leaks', 'nns', 'inlet', 'nn']","[8, 4374, 43, 4376, 448, 4373]",2,"[0.005831778, 7.023114e-05, 0.99853563]",1
of leaks suction,of in_pos leaks nns suction nn,"['of', 'in_pos', 'leaks', 'nns', 'suction', 'nn']","[8, 4374, 43, 4376, 50, 4373]",2,"[0.010382384, 0.0003965199, 0.996107]",1
of loose drive,of in_pos loose jj drive nn,"['of', 'in_pos', 'loose', 'jj', 'drive', 'nn']","[8, 4374, 179, 4378, 117, 4373]",0,"[0.91835964, 9.4822026e-05, 0.32329622]",0
of lube oil,of in_pos lube jj oil nn,"['of', 'in_pos', 'lube', 'jj', 'oil', 'nn']","[8, 4374, 29, 4378, 9, 4373]",0,"[0.9995414, 0.00035712123, 0.00014486909]",1
of main bearing,of in_pos main jj bearing nn,"['of', 'in_pos', 'main', 'jj', 'bearing', 'nn']","[8, 4374, 60, 4378, 48, 4373]",2,"[0.0058071017, 6.6983102e-06, 0.9992249]",1
of main cranckshaft,of in_pos main jj cranckshaft nn,"['of', 'in_pos', 'main', 'jj', 'cranckshaft', 'nn']","[8, 4374, 60, 4378, 1425, 4373]",0,"[0.79575145, 3.5237545e-06, 0.73628825]",0
of matal delta,of in_pos matal jj delta nn,"['of', 'in_pos', 'matal', 'jj', 'delta', 'nn']","[8, 4374, 2633, 4378, 1480, 4373]",0,"[0.999421, 9.496021e-05, 0.00013250113]",1
of maximum allowance,of in_pos maximum jj allowance nn,"['of', 'in_pos', 'maximum', 'jj', 'allowance', 'nn']","[8, 4374, 491, 4378, 3542, 4373]",0,"[0.9995878, 4.4387443e-06, 0.0011706948]",1
of mechanical seal,of in_pos mechanical jj seal nn,"['of', 'in_pos', 'mechanical', 'jj', 'seal', 'nn']","[8, 4374, 361, 4378, 109, 4373]",0,"[0.89794695, 5.639884e-05, 0.27359357]",0
of minor seapage,of in_pos minor jj seapage nn,"['of', 'in_pos', 'minor', 'jj', 'seapage', 'nn']","[8, 4374, 1102, 4378, 3231, 4373]",0,"[0.9990232, 2.369814e-05, 0.00096410513]",1
of mp piston,of in_pos mp nns piston nn,"['of', 'in_pos', 'mp', 'nns', 'piston', 'nn']","[8, 4374, 103, 4376, 62, 4373]",2,"[0.08461267, 0.006552726, 0.8334452]",0
of mud containment,of in_pos mud nn containment nn,"['of', 'in_pos', 'mud', 'nn', 'containment', 'nn']","[8, 4374, 13, 4373, 2248, 4373]",0,"[0.9876393, 0.0013777614, 0.00398612]",0
of mud pump,of in_pos mud nn pump nn,"['of', 'in_pos', 'mud', 'nn', 'pump', 'nn']","[8, 4374, 13, 4373, 3, 4373]",0,"[0.82679164, 0.31668705, 0.00077721477]",0
of new oil,of in_pos new jj oil nn,"['of', 'in_pos', 'new', 'jj', 'oil', 'nn']","[8, 4374, 61, 4378, 9, 4373]",0,"[0.99741924, 0.0045057833, 0.00028163195]",1
of nitrogen pressure,of in_pos nitrogen jj pressure nn,"['of', 'in_pos', 'nitrogen', 'jj', 'pressure', 'nn']","[8, 4374, 348, 4378, 21, 4373]",0,"[0.99634093, 0.007144481, 0.00029745698]",1
of old swab,of in_pos old jj swab nn,"['of', 'in_pos', 'old', 'jj', 'swab', 'nn']","[8, 4374, 382, 4378, 218, 4373]",0,"[0.9834943, 0.0016804934, 0.014462262]",0
of omala sg,of in_pos omala jj sg nn,"['of', 'in_pos', 'omala', 'jj', 'sg', 'nn']","[8, 4374, 1277, 4378, 3009, 4373]",0,"[0.9993123, 3.089747e-05, 0.00052165985]",1
of psi bar,of in_pos psi jj bar nn,"['of', 'in_pos', 'psi', 'jj', 'bar', 'nn']","[8, 4374, 15, 4378, 178, 4373]",0,"[0.99941796, 0.00013175607, 0.0008697808]",1
of routine maintenance,of in_pos routine jj maintenance nn,"['of', 'in_pos', 'routine', 'jj', 'maintenance', 'nn']","[8, 4374, 1691, 4378, 271, 4373]",0,"[0.9806547, 0.00042808056, 0.013238043]",0
of specified grease,of in_pos specified vbn grease nn,"['of', 'in_pos', 'specified', 'vbn', 'grease', 'nn']","[8, 4374, 1318, 4372, 201, 4373]",0,"[0.8821962, 0.01692614, 0.024298698]",0
of step step,of in_pos step jj step nn,"['of', 'in_pos', 'step', 'jj', 'step', 'nn']","[8, 4374, 251, 4378, 251, 4373]",0,"[0.987427, 0.00029221177, 0.031725526]",0
of stuck valve,of in_pos stuck jj valve nn,"['of', 'in_pos', 'stuck', 'jj', 'valve', 'nn']","[8, 4374, 4132, 4378, 47, 4373]",0,"[0.94811964, 2.252997e-06, 0.014400095]",0
of such classification,of in_pos such jj classification nn,"['of', 'in_pos', 'such', 'jj', 'classification', 'nn']","[8, 4374, 3445, 4378, 1619, 4373]",0,"[0.9994799, 8.788945e-05, 0.0001023353]",1
of top cover,of in_pos top jj cover nn,"['of', 'in_pos', 'top', 'jj', 'cover', 'nn']","[8, 4374, 244, 4378, 88, 4373]",0,"[0.95217717, 3.368978e-05, 0.23568216]",0
of torque failure,of in_pos torque jj failure nn,"['of', 'in_pos', 'torque', 'jj', 'failure', 'nn']","[8, 4374, 194, 4378, 548, 4373]",0,"[0.96921253, 4.617666e-05, 0.15762493]",0
of visual damage,of in_pos visual jj damage nn,"['of', 'in_pos', 'visual', 'jj', 'damage', 'nn']","[8, 4374, 183, 4378, 54, 4373]",2,"[0.09738237, 0.00031867623, 0.9520596]",0
of washed outy,of in_pos washed vbn outy nn,"['of', 'in_pos', 'washed', 'vbn', 'outy', 'nn']","[8, 4374, 554, 4372, 2691, 4373]",0,"[0.9810208, 0.0011782646, 0.0050115585]",0
of washed valve,of in_pos washed vbn valve nn,"['of', 'in_pos', 'washed', 'vbn', 'valve', 'nn']","[8, 4374, 554, 4372, 47, 4373]",0,"[0.59475994, 0.010151982, 0.091632664]",0
of wear damage,of in_pos wear jj damage nn,"['of', 'in_pos', 'wear', 'jj', 'damage', 'nn']","[8, 4374, 97, 4378, 54, 4373]",2,"[0.07121804, 0.00073060393, 0.9225337]",0
off,off in_pos,"['off', 'in_pos']","[162, 4374]",1,"[0.056119323, 0.9168528, 0.052740037]",0
off checked,off in_pos checked vbn,"['off', 'in_pos', 'checked', 'vbn']","[162, 4374, 26, 4372]",0,"[0.67736727, 0.49815398, 0.0076451004]",0
off due,off in_pos due jj,"['off', 'in_pos', 'due', 'jj']","[162, 4374, 87, 4378]",0,"[0.995933, 0.0054531693, 0.0011559725]",1
off for boost,off in_pos for in_pos boost nn,"['off', 'in_pos', 'for', 'in_pos', 'boost', 'nn']","[162, 4374, 7, 4374, 482, 4373]",1,"[1.3744551e-05, 0.88879055, 0.25282043]",0
off on hmi pressure,off rb on in_pos hmi nn pressure nn,"['off', 'rb', 'on', 'in_pos', 'hmi', 'nn', 'pressure', 'nn']","[162, 4371, 6, 4374, 4162, 4373, 21, 4373]",0,"[0.9641013, 0.0045411885, 0.00029292703]",0
off pump,off in_pos pump nn,"['off', 'in_pos', 'pump', 'nn']","[162, 4374, 3, 4373]",1,"[0.47594777, 0.84195375, 0.00053936243]",0
office,office nn,"['office', 'nn']","[1801, 4373]",2,"[0.018385977, 0.06894949, 0.9363427]",0
offline,offline nn,"['offline', 'nn']","[1650, 4373]",2,"[0.01290372, 0.08065808, 0.93634427]",0
offs,offs nns,"['offs', 'nns']","[2202, 4376]",2,"[0.04386294, 0.032185823, 0.84314466]",0
offset,offset nn,"['offset', 'nn']","[1009, 4373]",2,"[0.00974527, 0.06866813, 0.94464076]",0
offshore,offshore rb,"['offshore', 'rb']","[2343, 4371]",2,"[0.3491739, 0.03568989, 0.5444241]",0
offsite,offsite nn,"['offsite', 'nn']","[3987, 4373]",2,"[0.031718135, 0.04770404, 0.9153311]",0
ofline,ofline nn,"['ofline', 'nn']","[3986, 4373]",2,"[0.025599837, 0.059069186, 0.92587924]",0
often for lubricant note,often rb for in_pos lubricant jj note nn,"['often', 'rb', 'for', 'in_pos', 'lubricant', 'jj', 'note', 'nn']","[3651, 4371, 7, 4374, 3652, 4378, 190, 4373]",2,"[0.00010615362, 0.0065618157, 0.95421517]",0
ogden,ogden nn,"['ogden', 'nn']","[2342, 4373]",2,"[0.030799836, 0.04768479, 0.91780055]",0
oil,oil nn,"['oil', 'nn']","[9, 4373]",1,"[0.054749757, 0.9377427, 0.014837712]",0
oill,oill nn,"['oill', 'nn']","[3742, 4373]",2,"[0.030397683, 0.04965481, 0.9169269]",0
oils,oils nns,"['oils', 'nns']","[3701, 4376]",2,"[0.044490635, 0.030292511, 0.84385115]",0
oilwell,oilwell nn,"['oilwell', 'nn']","[2350, 4373]",2,"[0.021102518, 0.06409374, 0.93254364]",0
ok,ok nn,"['ok', 'nn']","[131, 4373]",2,"[0.045453876, 0.31845653, 0.39934477]",0
ok cleaned,ok nn cleaned vbd,"['ok', 'nn', 'cleaned', 'vbd']","[131, 4373, 75, 4380]",1,"[0.0047186315, 0.39328963, 0.37355205]",0
ok closed,ok nns closed vbd,"['ok', 'nns', 'closed', 'vbd']","[131, 4376, 182, 4380]",2,"[0.0020563304, 0.3550166, 0.6377829]",0
ok discussed,ok nns discussed vbd,"['ok', 'nns', 'discussed', 'vbd']","[131, 4376, 706, 4380]",2,"[0.0023525953, 0.06549147, 0.94354296]",0
ok inspected,ok rb inspected vbn,"['ok', 'rb', 'inspected', 'vbn']","[131, 4371, 36, 4372]",0,"[0.67447865, 0.05647266, 0.06458014]",0
ok make,ok nns make vbp,"['ok', 'nns', 'make', 'vbp']","[131, 4376, 193, 4381]",2,"[0.103223294, 0.0062818527, 0.81233144]",0
ok monitored,ok nn monitored vbd,"['ok', 'nn', 'monitored', 'vbd']","[131, 4373, 903, 4380]",2,"[0.0015019476, 0.006330788, 0.9904458]",1
ok rigged,ok nns rigged vbd,"['ok', 'nns', 'rigged', 'vbd']","[131, 4376, 910, 4380]",2,"[0.002863139, 0.057879537, 0.9468598]",0
okay,okay nn,"['okay', 'nn']","[732, 4373]",2,"[0.009798616, 0.06277275, 0.947027]",0
old,old jj,"['old', 'jj']","[382, 4378]",2,"[0.021147698, 0.1220296, 0.8271247]",0
om,om nn,"['om', 'nn']","[1798, 4373]",2,"[0.014877558, 0.073138386, 0.9383256]",0
omala,omala nn,"['omala', 'nn']","[1277, 4373]",2,"[0.01063776, 0.076628, 0.94013155]",0
omala s gx,omala nn s nn gx nn,"['omala', 'nn', 's', 'nn', 'gx', 'nn']","[1277, 4373, 312, 4373, 1621, 4373]",0,"[0.8404188, 0.0015851855, 0.18459365]",0
omc,omc nn,"['omc', 'nn']","[1539, 4373]",2,"[0.017099708, 0.07239562, 0.93612576]",0
on after switch,on in_pos after in_pos switch nn,"['on', 'in_pos', 'after', 'in_pos', 'switch', 'nn']","[6, 4374, 206, 4374, 266, 4373]",2,"[0.009476155, 0.30080906, 0.6476607]",0
on attached condition,on in_pos attached vbn condition nn,"['on', 'in_pos', 'attached', 'vbn', 'condition', 'nn']","[6, 4374, 121, 4372, 63, 4373]",0,"[0.87240744, 0.03323075, 0.017522722]",0
on closed loop,on in_pos closed jj loop nn,"['on', 'in_pos', 'closed', 'jj', 'loop', 'nn']","[6, 4374, 182, 4378, 726, 4373]",0,"[0.99554694, 0.00029677153, 0.013464302]",1
on corrective job,on in_pos corrective jj job nn,"['on', 'in_pos', 'corrective', 'jj', 'job', 'nn']","[6, 4374, 1362, 4378, 31, 4373]",0,"[0.9926025, 0.021520853, 0.0003158152]",1
on cowmarcelo santos,on in_pos cowmarcelo nns santos nns,"['on', 'in_pos', 'nns', 'santos', 'nns']","[6, 4374, 4376, 3363, 4376]",0,"[0.9990689, 0.0012555718, 1.08541035e-05]",1
on crank area,on in_pos crank jj area nn,"['on', 'in_pos', 'crank', 'jj', 'area', 'nn']","[6, 4374, 221, 4378, 314, 4373]",0,"[0.9876517, 0.00015839934, 0.0714072]",0
on critical load,on in_pos critical jj load nn,"['on', 'in_pos', 'critical', 'jj', 'load', 'nn']","[6, 4374, 1081, 4378, 1046, 4373]",0,"[0.9855711, 0.0045960248, 0.011372805]",0
on drained oil,on in_pos drained vbn oil nn,"['on', 'in_pos', 'drained', 'vbn', 'oil', 'nn']","[6, 4374, 261, 4372, 9, 4373]",0,"[0.97104967, 0.1373257, 0.00013172626]",0
on eccentric bearing,on in_pos eccentric jj bearing nn,"['on', 'in_pos', 'eccentric', 'jj', 'bearing', 'nn']","[6, 4374, 272, 4378, 48, 4373]",2,"[0.007718146, 2.628243e-05, 0.99860764]",1
on fluid cylinder,on in_pos fluid nn cylinder nn,"['on', 'in_pos', 'fluid', 'nn', 'cylinder', 'nn']","[6, 4374, 58, 4373, 161, 4373]",2,"[0.02763325, 0.00058189034, 0.9894862]",0
on fluid end,on in_pos fluid jj end nn,"['on', 'in_pos', 'fluid', 'jj', 'end', 'nn']","[6, 4374, 58, 4378, 46, 4373]",2,"[0.68108815, 2.1021453e-05, 0.80544806]",0
on free issue,on in_pos free jj issue nn,"['on', 'in_pos', 'free', 'jj', 'issue', 'nn']","[6, 4374, 187, 4378, 306, 4373]",0,"[0.9741081, 0.0001270473, 0.15843618]",0
on from dayshift,on in_pos from in_pos dayshift nn,"['on', 'in_pos', 'from', 'in_pos', 'dayshift', 'nn']","[6, 4374, 34, 4374, 1755, 4373]",2,"[0.0031100214, 0.074780196, 0.90546495]",0
on further investigation,on in_pos further jj investigation nn,"['on', 'in_pos', 'further', 'jj', 'investigation', 'nn']","[6, 4374, 658, 4378, 1138, 4373]",0,"[0.98697376, 0.0027290583, 0.013946861]",0
on gear end,on in_pos gear jj end nn,"['on', 'in_pos', 'gear', 'jj', 'end', 'nn']","[6, 4374, 102, 4378, 46, 4373]",0,"[0.92179596, 0.00010864963, 0.2927165]",0
on hex pump,on in_pos hex nns pump nn,"['on', 'in_pos', 'hex', 'nns', 'pump', 'nn']","[6, 4374, 202, 4376, 3, 4373]",1,"[0.20485294, 0.6622728, 0.015884042]",0
on high pressure,on in_pos high jj pressure nn,"['on', 'in_pos', 'high', 'jj', 'pressure', 'nn']","[6, 4374, 219, 4378, 21, 4373]",0,"[0.9889846, 0.07596335, 5.413922e-05]",0
on hot shot,on in_pos hot jj shot nn,"['on', 'in_pos', 'hot', 'jj', 'shot', 'nn']","[6, 4374, 1287, 4378, 1747, 4373]",0,"[0.9978179, 0.0012745559, 0.0009531677]",1
on in conjunction,on in_pos in in_pos conjunction nn,"['on', 'in_pos', 'in', 'in_pos', 'conjunction', 'nn']","[6, 4374, 5, 4374, 897, 4373]",2,"[0.00061407685, 0.06127295, 0.95203865]",0
on inner race,on in_pos inner jj race nn,"['on', 'in_pos', 'inner', 'jj', 'race', 'nn']","[6, 4374, 566, 4378, 666, 4373]",0,"[0.97509396, 0.001173079, 0.047922462]",0
on last pump,on in_pos last jj pump nn,"['on', 'in_pos', 'last', 'jj', 'pump', 'nn']","[6, 4374, 326, 4378, 3, 4373]",0,"[0.9834517, 0.011049151, 0.0031220317]",0
on linear bearing,on in_pos linear jj bearing nn,"['on', 'in_pos', 'linear', 'jj', 'bearing', 'nn']","[6, 4374, 547, 4378, 48, 4373]",2,"[0.0030541122, 0.00017341971, 0.9982395]",1
on linerwash pump,on in_pos linerwash jj pump nn,"['on', 'in_pos', 'linerwash', 'jj', 'pump', 'nn']","[6, 4374, 3754, 4378, 3, 4373]",0,"[0.9998087, 3.9281746e-05, 1.551881e-05]",1
on local mode,on in_pos local jj mode nn,"['on', 'in_pos', 'local', 'jj', 'mode', 'nn']","[6, 4374, 811, 4378, 637, 4373]",0,"[0.98513865, 0.0033271015, 0.014431477]",0
on lube oil,on in_pos lube jj oil nn,"['on', 'in_pos', 'lube', 'jj', 'oil', 'nn']","[6, 4374, 29, 4378, 9, 4373]",0,"[0.99920577, 0.0016683638, 8.351249e-05]",1
on lube pump,on in_pos lube nns pump nn,"['on', 'in_pos', 'lube', 'nns', 'pump', 'nn']","[6, 4374, 29, 4376, 3, 4373]",0,"[0.91259027, 0.009641945, 0.0401299]",0
on magnetic filter,on in_pos magnetic jj filter nn,"['on', 'in_pos', 'magnetic', 'jj', 'filter', 'nn']","[6, 4374, 313, 4378, 56, 4373]",0,"[0.9920096, 0.0021035075, 0.004925728]",1
on main bearing,on in_pos main jj bearing nn,"['on', 'in_pos', 'main', 'jj', 'bearing', 'nn']","[6, 4374, 60, 4378, 48, 4373]",2,"[0.005586505, 1.3383218e-05, 0.9990939]",1
on mp cylinder,on in_pos mp nns cylinder nn,"['on', 'in_pos', 'mp', 'nns', 'cylinder', 'nn']","[6, 4374, 103, 4376, 161, 4373]",2,"[0.1701932, 0.03172213, 0.68333906]",0
on mp suction,on in_pos mp nns suction nn,"['on', 'in_pos', 'mp', 'nns', 'suction', 'nn']","[6, 4374, 103, 4376, 50, 4373]",2,"[0.16505602, 0.064336956, 0.5201677]",0
on mud pump,on in_pos mud nn pump nn,"['on', 'in_pos', 'mud', 'nn', 'pump', 'nn']","[6, 4374, 13, 4373, 3, 4373]",1,"[0.4263947, 0.8018281, 0.000744611]",0
on new hose,on in_pos new jj hose nn,"['on', 'in_pos', 'new', 'jj', 'hose', 'nn']","[6, 4374, 61, 4378, 287, 4373]",0,"[0.995304, 0.0007647574, 0.0105107725]",1
on new job,on in_pos new jj job nn,"['on', 'in_pos', 'new', 'jj', 'job', 'nn']","[6, 4374, 61, 4378, 31, 4373]",0,"[0.99445724, 0.011932135, 0.0007072985]",1
on next pm,on in_pos next jj pm nn,"['on', 'in_pos', 'next', 'jj', 'pm', 'nn']","[6, 4374, 471, 4378, 65, 4373]",0,"[0.99061626, 0.02109468, 0.00069487095]",1
on nitrogen charge,on in_pos nitrogen jj charge nn,"['on', 'in_pos', 'nitrogen', 'jj', 'charge', 'nn']","[6, 4374, 348, 4378, 211, 4373]",0,"[0.9891046, 0.0016894042, 0.012804657]",0
on normal level,on in_pos normal jj level nn,"['on', 'in_pos', 'normal', 'jj', 'level', 'nn']","[6, 4374, 315, 4378, 85, 4373]",0,"[0.99306285, 0.0019024312, 0.004073143]",1
on normal mode,on in_pos normal jj mode nn,"['on', 'in_pos', 'normal', 'jj', 'mode', 'nn']","[6, 4374, 315, 4378, 637, 4373]",0,"[0.9927337, 0.00025320053, 0.026283443]",1
on port side,on in_pos port jj side nn,"['on', 'in_pos', 'port', 'jj', 'side', 'nn']","[6, 4374, 181, 4378, 74, 4373]",0,"[0.90967906, 2.0490124e-05, 0.5270454]",0
on proper pa,on in_pos proper jj pa nn,"['on', 'in_pos', 'proper', 'jj', 'pa', 'nn']","[6, 4374, 292, 4378, 295, 4373]",0,"[0.9899558, 0.00031358004, 0.03767878]",0
on replaced discharge,on in_pos replaced vbn discharge nn,"['on', 'in_pos', 'replaced', 'vbn', 'discharge', 'nn']","[6, 4374, 51, 4372, 64, 4373]",0,"[0.3883276, 0.26907414, 0.04328385]",0
on rightport side,on in_pos rightport nn side nn,"['on', 'in_pos', 'rightport', 'nn', 'side', 'nn']","[6, 4374, 2892, 4373, 74, 4373]",0,"[0.8255379, 2.6106241e-05, 0.16543877]",0
on same strainer,on in_pos same jj strainer nn,"['on', 'in_pos', 'same', 'jj', 'strainer', 'nn']","[6, 4374, 354, 4378, 171, 4373]",0,"[0.97571194, 0.002088219, 0.027754337]",0
on scheduled date,on in_pos scheduled jj date nn,"['on', 'in_pos', 'scheduled', 'jj', 'date', 'nn']","[6, 4374, 1631, 4378, 459, 4373]",0,"[0.9839687, 0.003157854, 0.010287821]",0
on scution side,on in_pos scution nn side nn,"['on', 'in_pos', 'scution', 'nn', 'side', 'nn']","[6, 4374, 4199, 4373, 74, 4373]",0,"[0.7963972, 3.426509e-05, 0.2078807]",0
on seal area,on in_pos seal jj area nn,"['on', 'in_pos', 'seal', 'jj', 'area', 'nn']","[6, 4374, 109, 4378, 314, 4373]",0,"[0.97903913, 0.007299751, 0.0055499673]",0
on spare piston,on in_pos spare jj piston nn,"['on', 'in_pos', 'spare', 'jj', 'piston', 'nn']","[6, 4374, 406, 4378, 62, 4373]",0,"[0.9749379, 8.4794134e-05, 0.071027935]",0
on spare pony,on in_pos spare jj pony nn,"['on', 'in_pos', 'spare', 'jj', 'pony', 'nn']","[6, 4374, 406, 4378, 249, 4373]",0,"[0.97959816, 0.0015444756, 0.02766794]",0
on standpipe valve,on in_pos standpipe nn valve nn,"['on', 'in_pos', 'standpipe', 'nn', 'valve', 'nn']","[6, 4374, 520, 4373, 47, 4373]",2,"[0.07206476, 0.009422541, 0.7494481]",0
on stbd side,on in_pos stbd jj side nn,"['on', 'in_pos', 'stbd', 'jj', 'side', 'nn']","[6, 4374, 227, 4378, 74, 4373]",0,"[0.9212425, 2.4215073e-05, 0.4655689]",0
on terminal block,on in_pos terminal jj block nn,"['on', 'in_pos', 'terminal', 'jj', 'block', 'nn']","[6, 4374, 1975, 4378, 1962, 4373]",0,"[0.99794793, 0.0019022524, 0.00035586953]",1
onboard,onboard nn,"['onboard', 'nn']","[698, 4373]",2,"[0.009144783, 0.062449336, 0.94509304]",0
onboard closed,onboard nn closed vbd,"['onboard', 'nn', 'closed', 'vbd']","[698, 4373, 182, 4380]",1,"[0.0065912604, 0.45399746, 0.4152243]",0
once drill,once rb drill nn,"['once', 'rb', 'drill', 'nn']","[555, 4371, 322, 4373]",0,"[0.906972, 0.015562713, 0.043765604]",0
once in line,once rb in in_pos line nn,"['once', 'rb', 'in', 'in_pos', 'line', 'nn']","[555, 4371, 5, 4374, 113, 4373]",1,"[0.0052627027, 0.7471871, 0.16470033]",0
once joe,once rb joe nn,"['once', 'rb', 'joe', 'nn']","[555, 4371, 1026, 4373]",0,"[0.91561383, 0.0108392835, 0.04715213]",0
once mud,once rb mud nn,"['once', 'rb', 'mud', 'nn']","[555, 4371, 13, 4373]",0,"[0.9182242, 0.086690515, 0.0029248297]",0
once recieved,once rb recieved vbn,"['once', 'rb', 'recieved', 'vbn']","[555, 4371, 451, 4372]",0,"[0.81876564, 0.08798587, 0.050541103]",0
once torn,once rb torn jj,"['once', 'rb', 'torn', 'jj']","[555, 4371, 4137, 4378]",0,"[0.9988452, 0.00018012524, 0.0004389584]",1
one,one cd,"['one', 'cd']","[165, 4387]",1,"[0.00507915, 0.51314086, 0.4264086]",0
ones,ones nns,"['ones', 'nns']","[2215, 4376]",2,"[0.04378426, 0.030601054, 0.84598273]",0
ongoing,ongoing vbg,"['ongoing', 'vbg']","[917, 4388]",2,"[0.01164189, 0.11290729, 0.8625618]",0
online,online nn,"['online', 'nn']","[1301, 4373]",2,"[0.011144251, 0.07834265, 0.93867046]",0
only,only rb,"['only', 'rb']","[216, 4371]",0,"[0.6884034, 0.22566372, 0.04008749]",0
only deviation,only rb deviation nn,"['only', 'rb', 'deviation', 'nn']","[216, 4371, 1970, 4373]",0,"[0.98510164, 0.0045407116, 0.005317241]",0
only if suction,only rb if in_pos suction nn,"['only', 'rb', 'if', 'in_pos', 'suction', 'nn']","[216, 4371, 126, 4374, 50, 4373]",1,"[0.018722117, 0.4348255, 0.30971232]",0
only needed,only rb needed vbd,"['only', 'rb', 'needed', 'vbd']","[216, 4371, 279, 4380]",2,"[0.010011911, 0.066043526, 0.79824376]",0
only on chain,only rb on in_pos chain nn,"['only', 'rb', 'on', 'in_pos', 'chain', 'nn']","[216, 4371, 6, 4374, 297, 4373]",1,"[0.008774728, 0.7490847, 0.19002646]",0
only on september,only rb on in_pos september nn,"['only', 'rb', 'on', 'in_pos', 'september', 'nn']","[216, 4371, 6, 4374, 1507, 4373]",1,"[0.0064050257, 0.8465817, 0.11988333]",0
only outputs,only rb outputs nns,"['only', 'rb', 'outputs', 'nns']","[216, 4371, 4269, 4376]",0,"[0.9963774, 0.0008356869, 0.00036641955]",1
only pail,only rb pail nn,"['only', 'rb', 'pail', 'nn']","[216, 4371, 1472, 4373]",0,"[0.9724314, 0.0061821043, 0.011871994]",0
only present,only rb present jj,"['only', 'rb', 'present', 'jj']","[216, 4371, 336, 4378]",0,"[0.9966637, 0.000567019, 0.0031507611]",1
only ran,only rb ran nn,"['only', 'rb', 'ran', 'nn']","[216, 4371, 368, 4373]",0,"[0.9328109, 0.008818865, 0.03933862]",0
only trace,only rb trace nn,"['only', 'rb', 'trace', 'nn']","[216, 4371, 2676, 4373]",0,"[0.997507, 0.0009198189, 0.0003131926]",1
onto rod extension,onto in_pos rod nn extension nn,"['onto', 'in_pos', 'rod', 'nn', 'extension', 'nn']","[593, 4374, 53, 4373, 285, 4373]",2,"[0.3933992, 0.005071759, 0.61924756]",0
opeartions,opeartions nns,"['opeartions', 'nns']","[2918, 4376]",2,"[0.04608038, 0.028106272, 0.83862495]",0
open,open jj,"['open', 'jj']","[320, 4378]",2,"[0.0026955903, 0.31416392, 0.69558275]",0
opened,opened vbn,"['opened', 'vbn']","[341, 4372]",0,"[0.40041918, 0.22361693, 0.18781021]",0
opening,opening nn,"['opening', 'nn']","[2253, 4373]",2,"[0.018193424, 0.0704996, 0.9359062]",0
operated,operated vbn,"['operated', 'vbn']","[1767, 4372]",2,"[0.27130255, 0.10321498, 0.5394154]",0
operatiional,operatiional jj,"['operatiional', 'jj']","[4242, 4378]",2,"[0.113521785, 0.015042126, 0.761444]",0
operating,operating nn,"['operating', 'nn']","[158, 4373]",2,"[0.04147607, 0.2014637, 0.5636565]",0
