,extracted_date,JOBNUM,JOB_DEC_INST_TEXT_COMB_x,AVA_score_pred_khat,AVA_score_pred_khat_bayes,AVA_score_pred_pmi,AVA_class_pred_khat,AVA_class_pred_khat_bayes,AVA_class_pred_pmi,AVA_score_pred_khat_with_negation,AVA_score_pred_khat_bayes_with_negation,AVA_score_pred_pmi_with_negation,AVA_class_pred_khat_with_negation,AVA_class_pred_khat_bayes_with_negation,AVA_class_pred_pmi_with_negation,pred_khat_ava_array_with_neg,pred_khat_bayes_ava_array_with_neg,pred_pmi_ava_array_with_neg,pred_khat_ava_array,pred_khat_bayes_ava_array,pred_pmi_ava_array,JobType,NOV Random Rig Code,SYSTEM,COMPONENT,JOB_DEC_INST_TEXT_COMB_y,Negation_Scope_Processed,Need Repair 3,Repaired as good as new 1,Working fine 2,Combined Labels,JobSchedDate,JobStartDate,JobClosedDate,DatePurchased,DeactivationDate,date_diff_extract_minus_start,number_of_positive,number_of_negative,number_of_neutral,combined_neu_pos_neg,sentence_lenght,AVA_class_pred_pmi_with_negation_numeric,AVA_class_pred_khat_bayes_with_negation_numeric,AVA_class_pred_khat_with_negation_numeric,AVA_class_pred_pmi_numeric,AVA_class_pred_khat_bayes_numeric,AVA_class_pred_khat_numeric
1060,2017-11-15 08:35:00,2250038140360, Coupling spider found bad during the 30day pump inspection. We didn't have a spider in stock so we robbed one from the warehouse pump/motor assembly. The pump is still in warehouse but will be issued to this job then to be returned once the spider has been replaced. There is one more pump/motor assembly in the ware house missing one as well so extra will need to be installed in it.----------. Replace coupling spider. Coupling spider found bad during the 30day pump inspection. We didn't have a spider in stock to we robbed one from the warehouse pump/motor assembly. The pump is still in warehouse but will be issued to this job then to be returned once the spider has been replaced. There is one more pump/motor assembly in the ware house missing one as well so extra will need to be installed in it.,"[1.4068, 1.5656, 1.5276]","[1.4452, 1.5377, 1.5171]","[99.1649, -101.2138, 6.5489]",positive,positive,negative,"[1.4082, 1.5283, 1.5635]","[1.4463, 1.5192, 1.5345]","[99.1649, -101.2138, 6.5489]",positive,positive,negative,"[0.09534624380178512, -0.08833695903802234, 0.038693446722355924]","[0.056893704993901624, -0.05055807245054093, 0.018437568228251575]","[-199.75992997881204, -4.4300695647899175, 5.667764219104393]","[0.09640476303031655, -0.08994977467978293, -0.034745102165374284]","[0.05766373735948347, -0.051851650336754436, -0.017660872077436572]","[-199.75992997881204, -4.4300695647899175, 5.667764219104393]",Corrective,7492,HPMS,PMP, Coupling spider found bad during the 30day pump inspection. We didn't have a spider in stock so we robbed one from the warehouse pump/motor assembly. The pump is still in warehouse but will be issued to this job then to be returned once the spider has been replaced. There is one more pump/motor assembly in the ware house missing one as well so extra will need to be installed in it.----------. Replace coupling spider. Coupling spider found bad during the 30day pump inspection. We didn't have a spider in stock to we robbed one from the warehouse pump/motor assembly. The pump is still in warehouse but will be issued to this job then to be returned once the spider has been replaced. There is one more pump/motor assembly in the ware house missing one as well so extra will need to be installed in it.,,1.0,,,3,3/4/2018 0:00,11/15/2017 8:34,2/20/2018 18:28,5/13/2009 0:00,,0 days 00:01:12,5,10,4,"[4, 5, 10]",145,3,1,1,3,1,1
1061,2017-11-17 06:04:00,2250038140403," All steps completed and no anomalies to report at this time.. SPM-C_MTR_ALL-AC-HOR-MOUNT-500+_30-ELECTRICAL. NOTE: This PM MUST be performed in coordination with drilling department. NOTE: Review all relevant product alerts and bulletins, and make sure that all alerts and bulletins requiring action are addressed. 1. Make sure that the AC Motor meets conditions listed below: - no dirt or debris around motor - no cracks to motor housing - nameplate is present and legible NOTE: Perform Task 2 to Task 4 while Motor is running. 2. Listen to AC Motor for abnormal noises. 3. Feel AC Motor fo","[1.4724, 1.514, 1.5136]","[1.4724, 1.5139, 1.5137]","[253.1813, -110.032, -138.6494]",positive,positive,neutral,"[1.4694, 1.5286, 1.5021]","[1.4694, 1.5281, 1.5025]","[253.1813, -110.032, -138.6494]",positive,positive,neutral,"[0.030639323404437462, -0.03063932340414555, -0.02648521460789747]","[0.03063932340443726, -0.03063932340414565, -0.025571093258212493]","[-288.70991380393446, 214.65277458200782, -65.64597338480299]","[0.0244732293012967, -0.03063932340443747, -0.003482385537634203]","[0.024473229301296494, -0.03063932340443726, -0.0033077180295583695]","[-288.70991380393446, 214.65277458200782, -65.64597338480299]",Prevent Maint,7492,HPMS,MTR," All steps completed and no anomalies to report at this time.. SPM-C_MTR_ALL-AC-HOR-MOUNT-500+_30-ELECTRICAL. NOTE: This PM MUST be performed in coordination with drilling department. NOTE: Review all relevant product alerts and bulletins, and make sure that all alerts and bulletins requiring action are addressed. 1. Make sure that the AC Motor meets conditions listed below: - no dirt or debris around motor - no cracks to motor housing - nameplate is present and legible NOTE: Perform Task 2 to Task 4 while Motor is running. 2. Listen to AC Motor for abnormal noises. 3. Feel AC Motor fo",around motor no cracks to motor housing nameplate is. no anomalies to_report at this time. ,,,1.0,2,11/21/2017 0:00,11/17/2017 6:00,11/17/2017 6:04,6/29/2010 0:00,,0 days 00:04:01,1,9,4,"[4, 1, 9]",96,2,1,1,2,1,1
1099,2018-01-07 22:55:00,2250038142258, No mud leakage was present. Air pressure is set at 95110PSI. No air leaks observed. Valves are in good operational condition.. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,"[1.5101, 1.3859, 1.604]","[1.5038, 1.4154, 1.5808]","[252.7099, -200.6061, -47.6038]",negative,negative,negative,"[1.4952, 1.4473, 1.5575]","[1.4927, 1.459, 1.5484]","[252.7099, -200.6061, -47.6038]",negative,negative,negative,"[-0.0075602183193240816, -0.017159241252383325, 0.09778643668751828]","[-0.0024711265022195968, -0.017159241252351673, 0.07956194055134573]","[-318.1691465454942, 184.25070878324178, 86.043078985279]","[-0.03828596546204007, -0.018112082110994604, 0.18984129722527093]","[-0.025660811866764846, -0.018112082873809356, 0.14351972722380338]","[-318.1691465454942, 184.25070878324178, 86.043078985279]",Prevent Maint,7492,HPMS,PRV, No mud leakage was present. Air pressure is set at 95110PSI. No air leaks observed. Valves are in good operational condition.. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,no air leaks observed. no mud leakage was present. ,,,1.0,2,1/7/2018 0:00,1/7/2018 22:52,1/7/2018 22:55,12/11/2012 0:00,,0 days 00:03:20,1,11,3,"[3, 1, 11]",116,3,3,3,3,3,3
1104,2018-01-08 16:30:00,2250038142307," NO LEAKS NOTED FROM THE LINER WASH PUMP LINER WASH BOOST PUMPS COUPLINGS ARE SECURE NO INSERT DETERIRATION (RESIDUE) NOTED INSIDE PUMP COUPLING HOUSING. ALL PRESSURES ON THE MANUAL GAUGES ON LINER WASH TANK READ SATISFACTORY SUCTION STRAINERS CLEANED BY PUMP HAND PROGRESSIVE CAVITY PUMPS ARE DISCONNECTION FROM THE TANKS AND ARE NOT IN USE.. SPM-S_MP_NOV-HEX-240_30-MECHANICAL. 1. Apply 2 shots of grease to the flexible coupling using hand grease gun. Refer to RMS Procedure BPR-GENERIC-011 (Lubrication, Using Hand-Operated Grease Gun). NOTE: Perform Task 2 to Task 15 on pumps listed below: - Liner Wash Pump - Liner Wash Boost Pump - Lube Oil Pump - Closed Loop Pump 2. Check oil level or apply several shots of grease if applicable. 3. Make sure that all foundation bolts and fasteners are tight. 4. Visually examine the exterior of pump housing for damage.","[1.4986, 1.5323, 1.4691]","[1.4986, 1.5322, 1.4691]","[226.0859, 0.6906, -222.2765]",neutral,neutral,neutral,"[1.4979, 1.5447, 1.4574]","[1.4979, 1.5447, 1.4574]","[226.0859, 0.6906, -222.2765]",neutral,neutral,neutral,"[0.020082401576623835, 0.01590408546582749, -0.06922719291739933]","[0.020082401576623714, 0.015904085465957913, -0.06922719284983604]","[-181.67042344707264, 267.5013872405684, -180.05154951709085]","[0.01441200719722951, 0.011665598433963902, -0.05017847610516219]","[0.014412007197229371, 0.011665593494545516, -0.050068030634598616]","[-181.67042344707264, 267.5013872405684, -180.05154951709085]",Prevent Maint,7492,HPMS,MP," NO LEAKS NOTED FROM THE LINER WASH PUMP LINER WASH BOOST PUMPS COUPLINGS ARE SECURE NO INSERT DETERIRATION (RESIDUE) NOTED INSIDE PUMP COUPLING HOUSING. ALL PRESSURES ON THE MANUAL GAUGES ON LINER WASH TANK READ SATISFACTORY SUCTION STRAINERS CLEANED BY PUMP HAND PROGRESSIVE CAVITY PUMPS ARE DISCONNECTION FROM THE TANKS AND ARE NOT IN USE.. SPM-S_MP_NOV-HEX-240_30-MECHANICAL. 1. Apply 2 shots of grease to the flexible coupling using hand grease gun. Refer to RMS Procedure BPR-GENERIC-011 (Lubrication, Using Hand-Operated Grease Gun). NOTE: Perform Task 2 to Task 15 on pumps listed below: - Liner Wash Pump - Liner Wash Boost Pump - Lube Oil Pump - Closed Loop Pump 2. Check oil level or apply several shots of grease if applicable. 3. Make sure that all foundation bolts and fasteners are tight. 4. Visually examine the exterior of pump housing for damage.",no leaks noted from the liner wash pump liner wash boost pumps couplings are_secure                                      are not in use. ,,,1.0,2,1/15/2018 0:00,1/8/2018 16:29,1/8/2018 16:30,6/25/2009 0:00,,0 days 00:01:02,1,5,8,"[8, 1, 5]",140,2,2,2,2,2,2
1152,2018-02-27 14:32:00,2250038144108, Parts Requested from ICS:----------. Suction PRV for Mud Pumps. We have to replace the PRV on the #3 mud pump suction we are also ordering 2 ea. more as per the Drilling Sup. so as we can test and or change out #4 & #5,"[1.527, 1.3767, 1.5963]","[1.5251, 1.385, 1.5899]","[26.8221, -28.2124, 5.8903]",negative,negative,negative,"[1.5197, 1.3735, 1.6068]","[1.5181, 1.3792, 1.6027]","[26.8221, -28.2124, 5.8903]",negative,negative,negative,"[-0.039433029622582244, 0.0, 0.21360004994781842]","[-0.03616262849469941, 0.0, 0.20541199954426984]","[-50.352180152302005, 0.29196405326217345, 9.072663008573642]","[-0.05408953311526075, 0.0, 0.19254513683756483]","[-0.05019157644022988, 0.0, 0.17978780453040796]","[-50.352180152302005, 0.29196405326217345, 9.072663008573642]",Corrective,7492,HPMS,MP, Parts Requested from ICS:----------. Suction PRV for Mud Pumps. We have to replace the PRV on the #3 mud pump suction we are also ordering 2 ea. more as per the Drilling Sup. so as we can test and or change out #4 & #5,,1.0,,,3,7/31/2018 0:00,2/27/2018 14:32,3/25/2018 6:05,6/25/2009 0:00,,0 days 00:00:40,0,4,0,"[0, 0, 4]",42,3,3,3,3,3,3
1154,2018-03-01 02:18:00,2250038144188, No Mud leakage observed. Air pressure was correct. No air leaks observed.. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,"[1.511, 1.3738, 1.6152]","[1.5041, 1.406, 1.5898]","[232.1371, -192.7975, -34.8395]",negative,negative,negative,"[1.4947, 1.4396, 1.5657]","[1.492, 1.4523, 1.5557]","[232.1371, -192.7975, -34.8395]",negative,negative,negative,"[-0.008272774240089781, -0.018776511869950087, 0.1125865100250552]","[-0.002704031921844441, -0.01877651186991545, 0.09264434224468923]","[-294.2512463162602, 167.02286311589805, 94.3437659368975]","[-0.041894444770432165, -0.01981915865302991, 0.2105181301015254]","[-0.028079361524329865, -0.019819159487740493, 0.1598242470023154]","[-294.2512463162602, 167.02286311589805, 94.3437659368975]",Prevent Maint,7492,HPMS,PRV, No Mud leakage observed. Air pressure was correct. No air leaks observed.. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,no air leaks observed. no mud leakage observed. ,,,1.0,2,3/4/2018 0:00,3/1/2018 2:16,3/1/2018 2:18,12/11/2012 0:00,,0 days 00:02:49,1,11,2,"[2, 1, 11]",106,3,3,3,3,3,3
1182,2018-03-25 05:41:00,2250038145200, Removed the existing PRV and installed New PRV. New Component was bench tested and verified correct opening pressure of 100 psi.. Install Suction PRV. Install Low Pressure Suction PRV on Mud Pump due to not being able to correctly set the one that is currently on the pump during SET POINTS visit during the recertification,"[1.4303, 1.5496, 1.5201]","[1.4303, 1.5494, 1.5202]","[66.2532, -34.2835, -27.4697]",positive,positive,negative,"[1.4293, 1.563, 1.5078]","[1.4293, 1.563, 1.5078]","[66.2532, -34.2835, -27.4697]",positive,positive,negative,"[0.08992598638215844, -0.05156635690295992, -0.035985385267975914]","[0.08992598638215878, -0.05156635690296026, -0.0359853852621961]","[-81.54257334755718, 47.96389040428891, -9.9755118645423]","[0.08775885660512801, -0.05156635693686607, -0.011398667337143712]","[0.08775885660512736, -0.05156635693686622, -0.011121130393714793]","[-81.54257334755718, 47.96389040428891, -9.9755118645423]",Corrective,7492,HPMS,MP, Removed the existing PRV and installed New PRV. New Component was bench tested and verified correct opening pressure of 100 psi.. Install Suction PRV. Install Low Pressure Suction PRV on Mud Pump due to not being able to correctly set the one that is currently on the pump during SET POINTS visit during the recertification,due to not being able to correctly set the one that is currently on the pump during set. ,,1.0,,1,3/25/2018 0:00,3/25/2018 5:40,3/25/2018 5:41,6/25/2009 0:00,,0 days 00:01:48,2,2,2,"[2, 2, 2]",57,3,1,1,3,1,1
1203,2018-04-15 01:16:00,2250038146011," All motors inspected. Nothing abnormal noticed.. SPM-C_MTR_ALL-AC-HOR-MOUNT-500+_30-ELECTRICAL. NOTE: This PM MUST be performed in coordination with drilling department. NOTE: Review all relevant product alerts and bulletins, and make sure that all alerts and bulletins requiring action are addressed. 1. Make sure that the AC Motor meets conditions listed below: - no dirt or debris around motor - no cracks to motor housing - nameplate is present and legible NOTE: Perform Task 2 to Task 4 while Motor is running. 2. Listen to AC Motor for abnormal noises. 3. Feel AC Motor fo","[1.5069, 1.5032, 1.4899]","[1.5069, 1.5031, 1.49]","[252.8359, -108.8044, -139.5315]",neutral,neutral,neutral,"[1.5018, 1.5186, 1.4796]","[1.5018, 1.5181, 1.4801]","[252.8359, -108.8044, -139.5315]",neutral,neutral,neutral,"[0.0, 0.0035333563966381074, -0.037241368715127336]","[0.0, 0.0035333563966998393, -0.03629779125129865]","[-288.3803314543439, 214.2915222928714, -67.7715576710786]","[-0.00636478671656099, 0.00736677783384254, -0.012833223850173589]","[-0.006364786716560986, 0.007366777072095815, -0.012641941487601269]","[-288.3803314543439, 214.2915222928714, -67.7715576710786]",Prevent Maint,7492,HPMS,MTR," All motors inspected. Nothing abnormal noticed.. SPM-C_MTR_ALL-AC-HOR-MOUNT-500+_30-ELECTRICAL. NOTE: This PM MUST be performed in coordination with drilling department. NOTE: Review all relevant product alerts and bulletins, and make sure that all alerts and bulletins requiring action are addressed. 1. Make sure that the AC Motor meets conditions listed below: - no dirt or debris around motor - no cracks to motor housing - nameplate is present and legible NOTE: Perform Task 2 to Task 4 while Motor is running. 2. Listen to AC Motor for abnormal noises. 3. Feel AC Motor fo",around motor no cracks to motor housing nameplate is. nothing abnormal noticed. ,,,1.0,2,4/20/2018 0:00,4/15/2018 1:15,4/15/2018 1:16,6/29/2010 0:00,,0 days 00:01:49,0,8,5,"[5, 0, 8]",93,2,2,2,2,2,2
1277,2018-06-01 18:07:00,2250038147842," Installed upgraded Titan relief valve with the new modified bleed ports Jan 2018 Ref RMS Job # 142099 and Ref Bulletin Job # 122673. SPM-S_PRV-HPMS_NOV-TITAN-BX_360-MECHANICAL. CAUTION: THE PRESSURE RELIEF VALVES (PRV) ARE PRODUCED USING HEAT TREATED STEEL ALLOYS. THE PRESSURE CONTAINING PARTS OF THE PRVs SHALL NOT BE HEATED WITH A TORCH FOR ANY REASON. NOTE: If local PRV indicator and actual pressure of the PRV are not within +/-3%, arrange for PRV to be calibrated by trained personnel. NOTE: Refer to RMS Bulletin # TO13211 (Transocean NDT Guideline, eDocs # HQS-OPS-TIB-ADMN-011) for guidance on performing Non-Destructive Test (NDT)/Non-Destructive Evaluation (N","[1.4212, 1.5217, 1.5572]","[1.4212, 1.5342, 1.5447]","[79.5179, -83.6914, 8.6735]",positive,positive,negative,"[1.4181, 1.4954, 1.5865]","[1.4181, 1.5079, 1.5739]","[79.5179, -83.6914, 8.6735]",positive,positive,negative,"[0.08125511129054978, -0.08247728232951877, 0.09047732625430673]","[0.08125511129055031, -0.08247728232951891, 0.06538920432598114]","[-92.39956945979034, 63.63623880300874, 77.98325623801465]","[0.07519703640317749, -0.08247728232959219, 0.03189496630506783]","[0.07519703640317747, -0.08247728232959216, 0.006873107545609742]","[-92.39956945979034, 63.63623880300874, 77.98325623801465]",Prevent Maint,7492,HPMS,PRV," Installed upgraded Titan relief valve with the new modified bleed ports Jan 2018 Ref RMS Job # 142099 and Ref Bulletin Job # 122673. SPM-S_PRV-HPMS_NOV-TITAN-BX_360-MECHANICAL. CAUTION: THE PRESSURE RELIEF VALVES (PRV) ARE PRODUCED USING HEAT TREATED STEEL ALLOYS. THE PRESSURE CONTAINING PARTS OF THE PRVs SHALL NOT BE HEATED WITH A TORCH FOR ANY REASON. NOTE: If local PRV indicator and actual pressure of the PRV are not within +/-3%, arrange for PRV to be calibrated by trained personnel. NOTE: Refer to RMS Bulletin # TO13211 (Transocean NDT Guideline, eDocs # HQS-OPS-TIB-ADMN-011) for guidance on performing Non-Destructive Test (NDT)/Non-Destructive Evaluation (N",the pressure containing parts of the prvs shall not be heated with a torch for any reason        actual pressure of the prv are not within arrange for prv to_be calibrated_by trained personnel. ,,1.0,,1,6/15/2018 0:00,6/1/2018 18:06,6/1/2018 18:07,12/11/2012 0:00,,0 days 00:01:38,3,5,2,"[2, 3, 5]",107,3,1,1,3,1,1
1299,2018-06-13 18:57:00,2250038148277, Performed with 30 180 and 360 Day PM. Replaced Leaking Liner Wash Boost Pump. 1/2. This pump does not have a two piece cam. Cam is in acceptable condition. No wear observed. 3. Accumulator pre charge is correct. 750psi 4. No leaking gaskets or lose cap screws noticed. 5. Lubrication nozzles are working correctly. 6. Linear bearing locking caps are in correct position. 7. linear bearing rollers are tight and rotate freely. 8. Cylinder bolts are tight. 9. Rod gland seal is in acceptable condition. 10. Protectors are installed and in place.. SPM-S_MP_NOV-HEX-240_90-MECHANICAL. NOTE: Perform Task 1 and Task 2 ONLY if two piece cam is installed. 1. Measure and record carrier to profile ring offset as per RMS Procedure BPR-MP-N051 (Hex Pump Two Piece Cam Special Inspection). 2. Measure and record carrier to profile ring gap as per RMS Procedure BPR-MP-N051 (Hex Pump Two Piece Cam Special Inspection). 3. Make sure that the pre-charge pressure in accumulator for closed loop system is 750 psi (52 bar). 4. Visually examine drive end for leaking gaskets and loose,"[1.43, 1.5432, 1.5268]","[1.4282, 1.55, 1.5217]","[381.4821, -199.1238, -177.8583]",positive,positive,negative,"[1.4393, 1.5753, 1.4854]","[1.438, 1.5657, 1.4963]","[381.4821, -199.1238, -177.8583]",positive,positive,negative,"[0.0840787829573512, -0.03736293352479512, -0.0664682140803271]","[0.08407878295735133, -0.039968543797122766, -0.04737987146126972]","[-491.11256285766393, 268.8516846130493, -89.86491617848212]","[0.08407878295735124, -0.05594666781058991, -0.0023686909501334625]","[0.08407878295735101, -0.059464161380364054, -0.016018616778943503]","[-491.11256285766393, 268.8516846130493, -89.86491617848212]",Prevent Maint,7492,HPMS,MP, Performed with 30 180 and 360 Day PM. Replaced Leaking Liner Wash Boost Pump. 1/2. This pump does not have a two piece cam. Cam is in acceptable condition. No wear observed. 3. Accumulator pre charge is correct. 750psi 4. No leaking gaskets or lose cap screws noticed. 5. Lubrication nozzles are working correctly. 6. Linear bearing locking caps are in correct position. 7. linear bearing rollers are tight and rotate freely. 8. Cylinder bolts are tight. 9. Rod gland seal is in acceptable condition. 10. Protectors are installed and in place.. SPM-S_MP_NOV-HEX-240_90-MECHANICAL. NOTE: Perform Task 1 and Task 2 ONLY if two piece cam is installed. 1. Measure and record carrier to profile ring offset as per RMS Procedure BPR-MP-N051 (Hex Pump Two Piece Cam Special Inspection). 2. Measure and record carrier to profile ring gap as per RMS Procedure BPR-MP-N051 (Hex Pump Two Piece Cam Special Inspection). 3. Make sure that the pre-charge pressure in accumulator for closed loop system is 750 psi (52 bar). 4. Visually examine drive end for leaking gaskets and loose,no leaking gaskets or lose cap screws noticed. no wear observed. this pump does not have a two piece cam. ,,1.0,,1,6/14/2018 0:00,6/13/2018 18:55,6/13/2018 18:57,6/25/2009 0:00,,0 days 00:02:51,5,12,9,"[9, 5, 12]",175,3,1,1,3,1,1
1528,2019-03-03 06:48:00,2250038158525," Equipment is out of Service Back in service----------. 4 1/2"" Liners Needed For Hex Pumps. 4 1/2"" Liners Needed For Hex Pumps","[1.3171, 1.375, 1.8078]","[1.3171, 1.4218, 1.7611]","[5.7859, 2.5969, -3.8828]",positive,positive,neutral,"[1.3171, 1.4324, 1.7505]","[1.3171, 1.4562, 1.7267]","[5.7859, 2.5969, -3.8828]",positive,positive,neutral,"[0.18288440864387828, -0.18288440864381436, 0.31812111315969116]","[0.18288440864387706, -0.1828844086438135, 0.27056999747483895]","[-5.239080011157567, 3.3327040110479897, -7.432954150093703]","[0.18288440864387823, -0.18288440864387828, 0.4328091494973373]","[0.18288440864387706, -0.18288440864388059, 0.33938070655831787]","[-5.239080011157567, 3.3327040110479897, -7.432954150093703]",Corrective,7492,HPMS,FEND," Equipment is out of Service Back in service----------. 4 1/2"" Liners Needed For Hex Pumps. 4 1/2"" Liners Needed For Hex Pumps",,1.0,,,3,3/31/2019 0:00,3/2/2019 22:04,5/19/2019 17:59,5/8/2009 0:00,,0 days 08:44:18,1,3,0,"[0, 1, 3]",16,2,1,1,2,1,1
1946,2018-10-01 19:31:00,2270029187104," Removed and installed new dip tubes On # 1 3 4 discharge pulsation dampners.----------. Replace pressure drop tubes on mud pumps 1, 3 and 4 pulsation Dampeners. Pulsation Dampener #2 has already been done during the change out of the dampener Still to do 1,3&4 parts in warehouse: Gasket - ICN 15031301 Tube - ICN 10021494","[1.3465, 1.5459, 1.6076]","[1.3465, 1.5458, 1.6077]","[37.9808, -41.3731, 7.8923]",positive,positive,negative,"[1.3451, 1.5136, 1.6412]","[1.3451, 1.5136, 1.6412]","[37.9808, -41.3731, 7.8923]",positive,positive,negative,"[0.1791399734276646, -0.1305737906475844, 0.15191678119927354]","[0.17913997342766488, -0.13057379064758493, 0.1519167813665302]","[-75.86774284683716, -2.9060979917996805, 9.878405009191344]","[0.1763962237543071, -0.1305737906931595, 0.0846400084161517]","[0.17639622375430583, -0.13057379069315925, 0.08481035801765383]","[-75.86774284683716, -2.9060979917996805, 9.878405009191344]",Corrective,1497,HPMS,PDAM," Removed and installed new dip tubes On # 1 3 4 discharge pulsation dampners.----------. Replace pressure drop tubes on mud pumps 1, 3 and 4 pulsation Dampeners. Pulsation Dampener #2 has already been done during the change out of the dampener Still to do 1,3&4 parts in warehouse: Gasket - ICN 15031301 Tube - ICN 10021494",,,1.0,,1,9/14/2018 0:00,10/1/2018 19:28,10/2/2018 7:15,10/9/2008 0:00,,0 days 00:03:16,3,4,0,"[0, 3, 4]",45,3,1,1,3,1,1
2041,2018-10-12 00:15:00,2270029194340," Equipment disassembled. All fuid ends are not installed due power ends maintenance.. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement","[1.5416, 1.5445, 1.4139]","[1.5177, 1.5333, 1.449]","[172.7631, -84.0825, -84.1805]",neutral,neutral,neutral,"[1.6027, 1.4567, 1.4407]","[1.5779, 1.4473, 1.4747]","[172.7631, -84.0825, -84.1805]",neutral,negative,neutral,"[-0.07027922407730706, 0.13510525518992877, 0.01640975881431121]","[-0.06199889728526926, 0.09384827727467795, 0.043302491157936614]","[-188.24577215949665, 154.28039750796813, -17.08069184945151]","[-0.0075993458101814276, 0.07567811357522188, -0.096608396785618]","[0.004111957957793886, 0.039440285299218454, -0.06253576545987799]","[-188.24577215949665, 154.28039750796813, -17.08069184945151]",Prevent Maint,1497,HPMS,FEND," Equipment disassembled. All fuid ends are not installed due power ends maintenance.. SPM01-FEND-Checks. Note: Tasks to be performed daily but recorded weekly 1. Check fluid end for corrosion or leaks 2. Check suction and discharge manifolds for corrosion, cracks, wash-outs, or damage 3. Check discharge and suction modules for any movement",all fuid ends are not installed due power ends maintenance. ,1.0,,,3,10/5/2018 0:00,10/12/2018 0:12,10/12/2018 0:15,10/9/2008 0:00,,0 days 00:03:28,1,6,4,"[4, 1, 6]",53,2,3,2,2,2,2
